Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
338,"Establishment of NIT Puducherry Permanent Campus [Phase-I and Phase-II]
(National Institute of Technology, Puducherry)
(612877)
(-)",Puducherry,"09/2009
(07/2013)","12/2024
(05/2026)","618.34
(544.34)",531.44,98
339,"Construction of Permanent Campus of Indian Institute of Management [IIM] Amritsar,
Punjab, Phase-I
(Indian intitue of Management, Amritsar)
(605292)
(N28000142)",Punjab,"10/2019
(07/2020)","06/2023
(09/2026)","348.31
(348.31)",290.39,91
340,"Construction of Girls Hostel 400 seater, Boys Hostel 600 seater, Academic Block,
International Hostel 100 seater, VC Residence and Purchase of Equipment
(Central University of Punjab)
(617221)
(-)",Punjab,"08/2024
(04/2025)","10/2027
(-)","210.99
(210.99)",58.42,29
341,"Construction of Sikkim University Campus Phase-I Package-II at Yangang, South
Sikkim
(Sikkim University)
(609736)
(N44000002)",Sikkim,"08/2020
(01/2022)","01/2025
(03/2026)","314.06
(314.06)",287.39,90
342,"Establishment of Permanent Campus of NIT SIkkim at Khamdong-Gangtok District
(NIT Sikkim)
(612883)
(-)",Sikkim,"02/2024
(03/2024)","02/2028
(12/2026)","685.76
(610.76)",171.56,27
343,"Construction of Precast housing and hostels at IIT Hyderabad
(Indian Institute of Technology, Hyderabad)
(609996)
(-)",Telangana,"09/2022
(11/2022)","10/2024
(01/2026)","262
(262)",203.94,85
344,"Banaras Hindu University [ Kayakalp of Institute of Medical Sciences]
(Banaras Hindu University)
(606479)
(-)",Uttar Pradesh,"06/2020
(06/2020)","09/2022
(03/2026)","246
(246)",200.11,98
345,"Construction & Development of Infrastructural Facilities in the main campus of NIT
Uttarakhand at Sumari, Pauri Garhwal
(National Institute of Technology Uttarakhand)
(611963)
(-)",Uttarakhand,"06/2020
(04/2024)","09/2027
(-)","650.85
(650.85)",335.5,47
346,"HEFA projects on development of student hostels, playgrounds, departmental
buildings, class room complex and other campus facilities in IIT Kharagpur
(Indian Institute of Technology, Kharagpur)
(609019)
(N28000146)",West Bengal,"06/2018
(04/2019)","03/2023
(03/2026)","500
(442)",403.85,93
,Total (29),,,,14711.41,7931.02,
,Department of Sports,,,,,,
,Education,,,,,,
347,"National Sports University [NSU], Imphal [Manipur]
(Department of Sports & Youth Affairs)
(400081)
(-)",Manipur,"NA
(01/2022)","08/2024
(08/2026)","906.47
(611.74)",571.72,96
,Total (1),,,,906.47,571.72,
,Ministry of Petroleum & Natural Gas,,,,,,
,Energy Storage,,,,,,
348,"Construction of Aviation Fuel farm Facilities at Bhogapuram Airport
(Ministry of Petroleum & Natural Gas)
(616235)
(N16000538)",Andhra Pradesh,"08/2024
(08/2024)","03/2026
(03/2026)","240
(240)",147.75,95
349,"Construction of LPG Facilities at Kamardanga, Assam
(Hindustan Petroleum Corporation Limited)
(709754)
(N16000484)",Assam,"03/2023
(03/2023)","07/2027
(07/2027)","156.36
(156.36)",87.79,67
350,"Setting up of new rail fed POL facility at Kamardanga, Assam
(Hindustan Petroleum Corporation Limited [HPCL])
(709755)
(N16000494)",Assam,"03/2023
(03/2023)","07/2027
(07/2027)","384.04
(384.04)",190.47,76
351,"Capacity Augmentation of Kandla LPG Import Terminal [KLIT] from 0.6 MMTPA to 2.5
MMTPA
(Ministry of Petroleum & Natural Gas)
(617839)
(-)",Gujarat,"05/2023
(05/2023)","07/2026
(07/2026)","356.86
(304.4)",112.61,63
352,"Andheri Residential Towers, Mumbai
(Ministry of Petroleum & Natural Gas)
(604833)
(N16000503)",Maharashtra,"06/2017
(06/2017)","05/2025
(06/2026)","281.35
(389.67)",254.32,69
353,"LPG Bottling Plant at Mualkhang
(Ministry of Petroleum & Natural Gas)
(617829)
(-)",Mizoram,"07/2024
(07/2024)","10/2028
(11/2027)","225.71
(225.71)",18.59,28
354,"Srikakulam Angul Gas Pipeline Project
(Ministry of Petroleum & Natural Gas)
(701343)
(N16000388)","Multi-States
(Andhra Pradesh,
Odisha)","09/2019
(09/2019)","07/2022
(06/2026)","2658.34
(2810)",2300.5,96
355,"Paradip-Numaligarh Crude Oil Pipeline [PNCPL] & Crude Oil Import Terminal [COIT]
at Paradip
(Ministry of Petroleum & Natural Gas)
(701349)
(N16000394)","Multi-States
(Assam, Bihar,
Jharkhand,
Odisha, West
Bengal)","01/2019
(01/2019)","07/2024
(06/2026)","10228
(11407)",10626.49,91
356,"New Mundra Panipat Crude Oil Pipeline
(Ministry of Petroleum & Natural Gas)
(400078)
(N16000435)","Multi-States
(Gujarat, Haryana,
Rajasthan)","12/2021
(12/2021)","12/2024
(06/2026)","9028
(9028)",7343.81,90
357,"Kandla Gorakhpur LPG Pipeline
(Ministry of Petroleum & Natural Gas)
(400012)
(-)","Multi-States
(Gujarat, Madhya
Pradesh, Uttar
Pradesh)","12/2018
(12/2018)","12/2021
(03/2026)","10088
(10088)",8130.19,94
