Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code) (PMGID)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
,Ministry of Housing & Urban Affairs,,,,,,
,Construction,,,,,,
245,"Construction of One Tower of Office Complex and another Tower of Residential
quarters consisting of 10Nos. Type-V, 10Nos. Type-VI & 1No.Type-VII Quarters i/c
internal water supply, sanitary installation and all development and bulk services,
Horticulture works on EPC Mode-I basis i/c comprehensive operation and
maintenance of Civil, E&M services for 7 years after completion of original
construction work for Ranga Reddy, Secunderabad, Medchal, AuditI, Audit-II
Commissionerates of Central Tax at Khajaguda, Serilingampally, Hyderabad.
(Central Public Works Department - CPWD)
(617412)
(-) (-)",Telangana,"03/2024
(11/2024)","09/2027
(-)","644
(644)",175.79,23
,Total (1),,,,644,175.79,
,Real Estate,,,,,,
246,"Integrated Command control Center [ICCC] - Construction and Development of
Integrated Command Control Center with Security, Surveillance, ITMS, Connecting
Port, Ship Service, Smart Solid Waste Management, Smart Public Transport System
(ministry of housing and urban affairs)
(707229)
(-) (-)","Andaman &
Nicobar","07/2021
(11/2021)","05/2023
(10/2025)","209.88
(230)",37.35,97
247,"Redevelopment of Seven General Pool Residential Accommodation [GPRA] Colonies
in Delhi
(National Buildings Construction Corporation [NBCC])
(400188)
(-) (-)",Delhi,"07/2016
(05/2018)","12/2025
(12/2025)","32850
(32841)",14370.45,46.7
248,"Rehablitation in Junavadaj Area Smart City Project
(ministry of housing and urban affairs)
(701719)
(-) (-)",Gujarat,"02/2016
(06/2016)","07/2022
(07/2026)","539
(539)",623.44,98.5
249,"Green Building Development Project
(ministry of housing and urban affairs)
(701766)
(-) (-)",Uttarakhand,"11/2019
(08/2019)","11/2023
(12/2026)","150.97
(206)",56.76,40.05
,Total (4),,,,33749.85,15088,
,Urban Public Transport,,,,,,
250,"Patna Metro Rail Project
(Patna Metro Rail Corporation Ltd. [PMRCL])
(702627)
(-) (-)",Bihar,"02/2019
(02/2019)","02/2024
(06/2027)","13365.77
(13365.8)",5198.09,50.05
251,"Delhi Metro Rail Phase-IV [2 Corridors]
(Delhi Metro Rail Corporation Limited [DMRC])
(617207)
(-) (-)",Delhi,"03/2024
(03/2024)","03/2029
(-)","8399.81
(8399.81)",156.69,4.29
252,"Delhi Metro Rail Phase V A
(Delhi Metro Rail Corporation Limited [DMRC])
(619031)
(-) (-)",Delhi,"01/2026
(01/2026)","12/2028
(-)","12014.91
(12014.9)",253.96,5.63
253,"DMRTS Phase - IV [3 Priority Corridors]
(Delhi Metro Rail Corporation Limited [DMRC])
(702632)
(-) (-)",Delhi,"07/2019
(07/2019)","03/2025
(12/2026)","24948.65
(24948.7)",21041.39,82.2
254,"Surat Metro Rail Project
(Gujarat Metro Rail Corporation Limited [GMRCL])
(702630)
(-) (-)",Gujarat,"03/2019
(03/2019)","03/2024
(03/2027)","12020.32
(12020.3)",9166.71,81.1
255,"Metro connectivity from Millennium City Centre to Cyber City with Spur to Dwarka
Expressway, Gurugram.
(Gurugram Metro Rail Limited [GMRL])
(619022)
(-) (-)",Haryana,"07/2023
(08/2024)","07/2027
(-)","5452.72
(5452.72)",159.67,4.3
256,"Bangalore Metro Rail Project - PHASE-3
(Bengaluru Metro Rail)
(612878)
(-) (-)",Karnataka,"NA
(06/2026)","05/2031
(-)","15611
(15611)",0,0
257,"Construction of Bangalore Metro Rail Project Phase 2.
(Bengaluru Metro Rail)
(702635)
(-) (-)",Karnataka,"02/2014
(02/2016)","03/2021
(09/2026)","26405.14
(30695.1)",29812.97,95.6
258,"Construction Bangalore Metro Rail Project Phase-2A & 2B
(Bengaluru Metro Rail)
(702665)
(-) (-)",Karnataka,"06/2021
(01/2019)","06/2026
(06/2026)","14788.1
(14788.1)",10376.43,66
259,"Kochi Metro Rail Phase 2 Development Project
(CSPCC Projects)
(702664)
(-) (-)",Kerala,"11/2022
(11/2022)","11/2026
(11/2026)","1957.05
(1957.05)",752.34,38
260,"Bhopal Metro Rail Project
(Madhya Pradesh Metro Rail Co Limited [MPMRCL])
(702625)
(-) (-)",Madhya Pradesh,"11/2018
(11/2018)","11/2022
(06/2028)","6941.4
(6941.4)",4362.43,62.5
261,"Indore Metro Rail Project
(Madhya Pradesh Metro Rail Co Limited [MPMRCL])
(702626)
(-) (-)",Madhya Pradesh,"11/2018
(11/2018)","11/2022
(12/2028)","7500.8
(7500.8)",5044,65.19
262,"PCMC To Nigdi- Extension Of North South Corridor Of Phase-1
(Maharashtra Metro Rail Corporation Limited [MMRCL])
(617225)
(-) (-)",Maharashtra,"10/2023
(10/2023)","01/2027
(-)","910.18
(960.18)",309.65,47.17
