Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
618,"Satna-Rewa Railway Line Doubling Project
(West Central Railway [WCR] - II)
(705659)
(N22000554)",Madhya Pradesh,"11/2015
(08/2017)","03/2026
(03/2026)","500
(584)",562.48,86
619,"Doubling of Katni - Singrauli Railway Line [261 km]
(Indian Railway Construction International Limited [IRCON])
(705660)
(N22000351)",Madhya Pradesh,"03/2016
(03/2017)","12/2025
(12/2025)","2445
(4377)",3285.42,100
620,"Katni Grade Separator/Bye Pass
(Indian Railway Construction International Limited [IRCON])
(705661)
(N22000416)",Madhya Pradesh,"03/2016
(09/2017)","09/2024
(03/2026)","1248
(1248)",1759.07,95
621,"Indore - Budni New Railway Line [198 kms]
(RVNL - II)
(705763)
(N22000601)",Madhya Pradesh,"08/2019
(10/2020)","09/2030
(09/2030)","7474
(7474)",2177.94,30
622,"Nimach-Ratlam Doubling [133 Km]
(Western Railway [WR] - II)
(705933)
(N22000536)",Madhya Pradesh,"10/2021
(10/2021)","10/2027
(10/2027)","1095.88
(1095.88)",1284.91,94
623,"DHULE [BORVIHIR] - NARDANA NEW LINE [50.60 KMS]
(Central Railway)
(400019)
(N22000514)",Maharashtra,"01/2019
(04/2023)","12/2026
(09/2027)","492.76
(1170.83)",476.12,25
624,"Wardha-Nanded Via Yavatmal New BG Line
(Central Railway [CR] - II)
(400271)
(N22000231)",Maharashtra,"12/2017
(04/2008)","03/2025
(12/2026)","3445
(3445)",3002.93,50
625,"AURANGABAD-ANKAI - DOUBLING PROJECT 98.25 Km
(South Central Railway [SCR] - II)
(611751)
(-)",Maharashtra,"05/2023
(05/2023)","03/2027
(-)","960.64
(960.64)",1042.36,2
626,"Redevelopment of Chhatrapati Shivaji Maharaj Terminus [CSMT] and construction of
associated infrastructure
(Rail Land Development Authority)
(613015)
(-)",Maharashtra,"04/2023
(07/2023)","03/2027
(-)","1813
(1813)",772.1,20
627,"Gondia-Balharshah [Chanda Fort] Doubling [240 Km]
(South East Central Railway)
(617201)
(-)",Maharashtra,"04/2025
(04/2025)","03/2031
(-)","4373.04
(4373.04)",0.76,1
628,"Doubling between Parbhani Parli Vaijanath stations 64.71 Km
(South Central Railway [SCR] - II)
(617215)
(-)",Maharashtra,"12/2023
(12/2023)","03/2028
(-)","769.93
(769.93)",88.63,0
629,"Babupeth - Sasti New Rail Line [13.114 KMs]
(CentralRailway)
(617361)
(-)",Maharashtra,"10/2024
(10/2024)","03/2028
(-)","362.81
(362.81)",0.48,0
630,"Double Chord line Between Nilaje-Kopar
(CentralRailway)
(617364)
(-)",Maharashtra,"01/2025
(01/2025)","07/2028
(-)","338.33
(205)",14.83,24
631,"Ahmednagar - Beed - Parli - Vaijnath New Broad Gauge Line Railway Project [261.3
km]
(Central Railway [CR] - II)
(705356)
(220100181)",Maharashtra,"01/1999
(10/2002)","03/2026
(03/2026)","2538.67
(4957.27)",5107.68,98
632,"Baramati Lonand New Line Project
(Central Railway)
(705357)
(N22000615)",Maharashtra,"03/2016
(03/1999)","03/2027
(03/2027)","138.48
(1843.9)",947.27,60
633,"Wadsa-Gadchiroli
(South East Central Railway)
(705479)
(N22000480)",Maharashtra,"05/2017
(03/2012)","03/2027
(03/2027)","1886
(1886)",768.46,55
634,"3rd Line Kalyan - Kasara [67.35 Kilometres]
(Central Railway)
(705498)
(N22000233)",Maharashtra,"09/2015
(09/2015)","12/2026
(12/2026)","792.89
(1395.79)",1035.45,71
635,"3rd Line Wardha - Sewagram - Nagpur
(Central Railway [CR] - II)
(705500)
(N22000250)",Maharashtra,"09/2015
(05/2016)","12/2025
(10/2026)","540.02
(916.53)",803.15,88
636,"3rd Line Wardha - Ballarshah [132 Kilometres]
(Central Railway [CR] - II)
(705502)
(N22000356)",Maharashtra,"03/2016
(12/2016)","12/2025
(02/2026)","1384.72
(2033.59)",1754.28,98
637,"Pune - Miraj-Londa [467 Kilometres]
(Central Railway)
(705503)
(N22000359)",Maharashtra,"06/2016
(06/2016)","02/2025
(08/2025)","4027.53
(4872.52)",5180.25,100
638,"Doubling of Daund Manmad Line [247.6 km]
(Central Railway)
(705504)
(N22000360)",Maharashtra,"10/2017
(03/2017)","12/2025
(03/2026)","2081.27
(3267.06)",3026.08,92
639,"4th Line Wardha - Nagpur [78.7 Kilometres]
(Central Railway [CR] - II)
(705505)
(N22000362)",Maharashtra,"04/2017
(05/2018)","12/2025
(10/2026)","637.95
(1214.69)",1048.45,88
640,"3rd Line Manmad - Jalgaon [160 Kilometres]
(Central Railway [CR] - II)
(705506)
(N22000361)",Maharashtra,"05/2017
(04/2018)","12/2024
(08/2025)","1035.16
(1870)",1810.5,100
