Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
157,"240MW Heo HE Project
(North Eastern Electric Power Corporation Limited)
(611698)
(-)",Arunachal Pradesh,"12/2024
(05/2025)","07/2029
(-)","1938.85
(1938.85)",96.6,3.47
158,"186 MW Tato-I H E Project
(North Eastern Electric Power Corporation Limited)
(611699)
(-)",Arunachal Pradesh,"12/2024
(05/2025)","07/2029
(-)","1750.07
(1750.07)",73.67,2.21
159,"Buxar Thermal Power Project [1320 MW]
(Satluj Jal Vidyut Nigam [SJVN] Thermal Limited)
(602579)
(N18000194)",Bihar,"03/2019
(06/2019)","01/2024
(05/2026)","10439.09
(13756.6)",13252.96,94.1
160,"Nabinagar Super Thermal Power Project, Stage-II [3x800 MW]
(National Thermal Power Corporation [NTPC])
(619051)
(-)",Bihar,"11/2024
(03/2025)","07/2030
(-)","29948
(29948)",2547.19,9.15
161,"Lara Super Thermal Power Project Stage-II [2 x 800 MW]
(National Thermal Power Corporation [NTPC])
(611930)
(N18000381)",Chhattisgarh,"08/2023
(08/2023)","06/2028
(09/2028)","15530
(16106)",4606.12,27
162,"Sipat Super Thermal Power Project, Stage-III [1x800 MW]
(National Thermal Power Corporation [NTPC])
(617188)
(-)",Chhattisgarh,"09/2024
(09/2024)","09/2029
(-)","9791
(9791)",1556.39,18.7
163,"Bagodara Solar Power Project
(Satluj Jal Vidyut Nigam [SJVN] Thermal Limited)
(709747)
(N18000297)",Gujarat,"03/2021
(05/2021)","12/2025
(12/2025)","339.35
(339.35)",370,51.86
164,"Dhaulasidh Hydro Electric Project [66 MW]
(Satluj Jal Vidyut Nigam [SJVN] Thermal Limited)
(602582)
(N18000291)",Himachal Pradesh,"10/2020
(05/2021)","11/2025
(03/2027)","687.97
(1561.21)",1091,76.18
165,"Luhri Stage-I Hydro Electric Project [210 MW]
(Satluj Jal Vidyut Nigam [SJVN] Thermal Limited)
(602593)
(N18000279)",Himachal Pradesh,"11/2020
(11/2020)","01/2026
(02/2030)","1810.56
(4681.64)",1916.37,51.32
166,"Sunni Dam Hydro Electric Project [382 MW]
(Satluj Jal Vidyut Nigam [SJVN] Thermal Limited)
(611586)
(N18000344)",Himachal Pradesh,"01/2023
(01/2023)","04/2028
(12/2029)","2614.51
(4925.87)",1075.31,33.56
167,"Pakal Dul [Drangdhuran] Hydroelectric Project, 1000 MW
(National Hydroelectric Power Corporation Limited [NHPC])
(602525)
(N18000172)","Jammu and
Kashmir","10/2014
(02/2018)","04/2020
(12/2026)","8112.12
(12728)",8871.22,80
168,"Kiru HE Project
(National Hydroelectric Power Corporation Limited [NHPC])
(602532)
(N18000278)","Jammu and
Kashmir","03/2019
(02/2020)","09/2023
(12/2026)","4287.59
(5409)",3681.19,82.19
169,"Ratle HE Project - 850 MW, Ratle Hydroelectric Power Corporation Limited.
(National Hydroelectric Power Corporation Limited [NHPC])
(602535)
(N18000324)","Jammu and
Kashmir","02/2021
(01/2022)","02/2026
(11/2028)","5281.94
(5281.94)",1526.09,28.79
170,"Kwar HE Project
(National Hydroelectric Power Corporation Limited [NHPC])
(605155)
(N18000363)","Jammu and
Kashmir","05/2022
(11/2022)","11/2026
(03/2028)","4526.12
(4526.12)",1516.68,32.82
171,"Patratu Thermal Power Station Expansion Project Phase-I [3x800 MW]
(National Thermal Power Corporation [NTPC])
(400261)
(N18000275)",Jharkhand,"11/2017
(11/2017)","03/2023
(02/2027)","18668
(20302)",18630,88.7
172,"Koderma Thermal Power Station Phase II [2X800 MW] At Koderma, Jharkhand
(Damodar Valley Corporation)
(611509)
(-)",Jharkhand,"04/2023
(11/2024)","03/2029
(-)","14358
(14358)",1777.92,10.88
173,"Gadarwara Super Thermal Power Project, Stage-II [2x800 MW]
(National Thermal Power Corporation [NTPC])
(618976)
(-)",Madhya Pradesh,"11/2024
(05/2025)","03/2030
(-)","20446
(20446)",1617.84,6
174,"Subansiri Lower HE Project [2000 MW]
(National Hydroelectric Power Corporation Limited [NHPC])
(602096)
(180100221)","Multi-States
(Arunachal
Pradesh, Assam)","09/2003
(01/2005)","09/2010
(05/2026)","6285.33
(26075.5)",26119.27,97.57
175,"Talcher Thermal Power Station Stage III [2 x 660 MW] Expansion
(National Thermal Power Corporation [NTPC])
(602961)
(N18000364)",Odisha,"08/2022
(09/2022)","05/2027
(03/2028)","11843.75
(12543)",6222.91,48.2
176,"TEESTA-VI HE PROJECT, SIKKIM [500 MW], executed by LANCO TEESTA HYDRO
POWER LIMITED [A wholly owned Subsidiary of NHPC LTD. acquired through NCLT]
(National Hydroelectric Power Corporation Limited [NHPC])
(602181)
(N18000325)",Sikkim,"03/2019
(03/2020)","03/2024
(12/2027)","5748.04
(5748.04)",4298.28,72.08
177,"Rangit-IV HE Project [120 MW] executed by Jal Power Corporation Ltd. [JPCL] - A
wholly owned subsidiary of NHPC Ltd. acquired through NCLT
(National Hydroelectric Power Corporation Limited [NHPC])
(605156)
(N18000326)",Sikkim,"03/2021
(08/2021)","05/2024
(12/2025)","938.29
(1828.11)",1620.15,96.32
