Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
561,"Adraj Moti Vijapur 40 Kms
(Western Railway (WR) - II)
(611937)",Gujarat,"05/2022
(05/2022)","05/2026
(12/2025)","417.53
(417.53)",494.13,90
562,"New Broad Gauge line between Naliya to Jakhau Port
(Western Railway (WR) - II)
(611943)",Gujarat,"02/2023
(02/2023)","01/2028
(01/2028)","410.26
(410.26)",6.6,4
563,"Quadrupling between Gandhidham Adipur with Y connection at Adipur for providing
direct entry towards Mundra Port and Bhuj and high level platform at Gopalpur 11Kms
(Western Railway (WR) - II)
(611944)",Gujarat,"02/2023
(02/2023)","03/2026
(03/2026)","152.44
(152.44)",101.74,75
564,"Petlad Bhadran 23 Kms
(Western Railway)
(611945)",Gujarat,"05/2022
(05/2022)","05/2030
(05/2030)","307.11
(307.11)",13.58,17
565,"Samlaya Timba Road 54 km
(PCE/WR)
(611970)",Gujarat,"02/2023
(02/2023)","03/2030
(03/2030)","670.17
(670.17)",44.8,12
566,"Samni Jambusar 24 km
(PCE/WR)
(611971)",Gujarat,"05/2022
(05/2022)","03/2030
(03/2030)","350
(349.93)",67.73,31
567,"Western Railway Samakhiali Gandhidham Quadrupiling 53 Kms
(Western Railway (WR) - II)
(611974)",Gujarat,"08/2023
(08/2023)","12/2026
(06/2027)","1430
(1430)",220.11,20
568,"Dahod Creation of Infrastructure facilities for 9000 HP Electric locomotives
Manufacturing at
(PCE/WR)
(611977)",Gujarat,"05/2022
(02/2023)","02/2025
(-)","487
(487)",108.69,0
569,"Dahod Rolling Stock Workshop Provision of Infrastructure for CBS at
(PCE/WR)
(611978)",Gujarat,"11/2022
(03/2023)","03/2025
(-)","158
(158)",47.31,0
570,"Sabarmati Setting up of Maintenance Facilities for Train Sets Phase ii
(PCE/WR)
(611979)",Gujarat,"01/2023
(04/2023)","06/2025
(-)","250
(250)",0,0
571,"4th LINE BETWEEN BAREJADI NANDEJ-SANAND-AHMEDABAD BYPASS
(Western Railway (WR) - II)
(612072)",Gujarat,"02/2023
(02/2023)","03/2027
(07/2028)","961.67
(961.67)",335.93,17
572,"Redevelopment of Ahmedabad railway station and associated infrastructure on
engineering, procurement and construction mode
(Rail Land Development Authority)
(613786)",Gujarat,"01/2023
(11/2023)","03/2028
(-)","2379
(2379)",726.91,19
573,"Miyagam-Karjan-Dabhoi-Samlaya [GC]
(Western Railway [WR] - II)
(705458)",Gujarat,"01/2017
(01/2017)","03/2021
(12/2026)","483.88
(1039.13)",621.53,41
574,"Modasa-Shamlaji Road Railway Line Project
(Western Railway (WR) - II)
(706757)",Gujarat,"09/2012
(04/2008)","03/2025
(03/2027)","262
(262)",337.45,62
575,"Rajkot - Kanalus Doubling Project [111.2 Kms]
(Western Railway (WR) - II)
(706763)",Gujarat,"10/2021
(12/2021)","10/2026
(10/2026)","1080.58
(1080.58)",822.77,77
576,"NADIAD-PETLAD [37.26 KM]
(Railway)
(709812)",Gujarat,"05/2022
(10/2023)","06/2030
(06/2030)","461.91
(461.91)",92.88,7
577,"NEW BG LINE INTERSECTION [5 NOS] BETWEEN GERATPUR-SANAND &
BOTAD-AHMEDABAD [16.51 KM]
(Western Railway (WR) - II)
(709813)",Gujarat,"10/2022
(07/2025)","06/2028
(10/2027)","437.21
(437.21)",19.06,17
578,"Bhiwani - Dobh Bahali Doubling Project [42.30 Km]
(North Western Railway [NWR])
(611884)",Haryana,"02/2023
(02/2023)","02/2028
(02/2028)","471
(471)",215.11,65
579,"Doubling between Pradhankunta-Patherih-Bhojudih of East Central Railway
(East Central Railway [ECR] - I)
(617372)",Jharkhand,"11/2022
(11/2022)","12/2025
(-)","349.22
(349.22)",106.11,70
580,"Gomoh - Flyover for DN trains
(East Central Railway [ECR] - I)
(705765)",Jharkhand,"01/2018
(01/2018)","03/2026
(03/2026)","686
(686)",574.14,59
581,"Lodhma - Piska - Link Line bypassing Hatia/Ranchi with Y connection
(South Eastern Railway [SER] - I)
(705785)",Jharkhand,"08/2021
(03/2019)","06/2026
(05/2027)","473
(473)",288.59,5
582,"Pradhan Kuntha Jn Line Doubling Project
(East Central Railway [ECR] - I)
(706837)",Jharkhand,"11/2022
(11/2022)","11/2027
(11/2027)","349.22
(349.22)",106.11,62
583,"Construction of New BG line between Hassan to Belur [27 Km]
(South Western Railway [SWR] - II)
(400023)",Karnataka,"03/2019
(12/2025)","04/2028
(04/2027)","749
(749)",0,0
584,"Yeshvanthpur - Channasandra Doubling Project [21.70 Km]
(Karnataka Rail Infrastructure Development Company Limited [K-RIDE])
(703585)",Karnataka,"04/2019
(10/2019)","03/2024
(03/2026)","314.1
(683.57)",152.31,53
585,"New Railway Line between Ginigera and Raichur [165.57 km]
(South Western Railway [SWR] - II)
(705434)",Karnataka,"03/2008
(05/2009)","03/2019
(03/2027)","2565
(3034.98)",2105.62,66
586,"Gadag-Wadi New Railway Line [257 km]
(South Western Railway [SWR] - II)
(705490)",Karnataka,"04/2013
(08/2017)","03/2027
(12/2027)","2842
(6700)",1400.27,30
587,"Kadur - Chickamagalur - Sakleshpur [93km]
(South Western Railway [SWR] - II)
(705492)",Karnataka,"01/2014
(11/2016)","06/2025
(12/2025)","825
(825)",699.12,83
588,"Bagalkot-Kudachi New Railway Line [142 km]
(South Western Railway [SWR] - II)
(705495)",Karnataka,"10/2013
(11/2012)","03/2027
(01/2027)","1378
(1649)",716.65,35
589,"Tumkur-Chitradurga-Davangere New Rail Line Project [191 km]
(South Western Railway [SWR] - II)
(705496)",Karnataka,"10/2013
(01/2017)","03/2019
(12/2027)","1876
(1876)",436.37,13
590,"Bangalore-Whitefield-Bangalore City-Krishnarajapuram [23.08 km] - Quadrupling
(South Western Railway [SWR] - II)
(705663)",Karnataka,"02/2018
(06/2022)","02/2026
(02/2026)","493
(493)",252.45,82
