Sl.No,Project Name (Agency) (Project Code),State,"Date of
Approval
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
,Ministry of Civil Aviation,,,,,,
,Aviation & Aviation Infrastructure,,,,,,
1,"Construction of New Domestic Terminal Building Building and miscellaneous works
including maintenance, operations and AICMC at Kadapa Airport
(Airport Authority of India [AAI])
(612786)",Andhra Pradesh,01/2024,"01/2026
03/2026","265.91
(265.91)",45.54,31
2,"Construction of New Integrated Terminal Building and associated works including
apron to park 3 code E type of aircraft or 6 code C type of aircraft at Vijayawada
Airport.
(Airport Authority of India [AAI])
(701107)",Andhra Pradesh,09/2020,"09/2022
12/2025","611.8
(611.8)",464.55,77
3,"Construction of New Domestic Terminal Building at Rajahmundry Airport.
(Airport Authority of India [AAI])
(701121)",Andhra Pradesh,08/2023,"08/2025
12/2025","347.15
(347.15)",81.23,49
4,"Guwahati Airport New Integrated Terminal Building Construction Project
(Adani Airport Holdings Limited)
(706724)",Assam,03/2018,"03/2025
(-)","1712
(1712)",0,94.1
5,"Development of New Civil Enclave at Bihta
(Airport Authority of India [AAI])
(612183)",Bihar,03/2025,"09/2027
(-)","1413
(1413)",0,1
6,"Development of New Civil Enclave and associated works at Darbhanga Airport
(Airport Authority of India [AAI])
(612194)",Bihar,07/2024,"01/2026
(-)","911.66
(911.66)",133.01,23
7,"Construction of New Domestic Terminal Building [Phase-I and II] and other allied
structures at JPNI Airport, Patna
(Airport Authority of India [AAI])
(701101)",Bihar,10/2018,"07/2023
11/2025","1216.9
(1216.9)",1046.48,94
8,"Goa Airport Terminal Building Extension Project
(Airport Authority of India [AAI])
(701105)",Goa,12/2019,"12/2021
09/2025","255.69
(255.69)",130,88
9,"Development of Dholera International Greenfield Airport , Gujarat
(Airport Authority of India [AAI])
(701126)",Gujarat,07/2022,"06/2026
06/2026","1305
(1551)",666.42,63
10,"Construction of NTB complex including apron, taxi track and other associated civil
works and electrical & mechanical installations towards Tawi River side at CA Jammu.
(Airport Authority of India [AAI])
(611047)","Jammu and
Kashmir",07/2023,"06/2026
06/2026","861.37
(861.37)",154.3,30
11,"Construction of New Domestic Terminal Building and Miscellaneous works at Hubli
Airport
(Airport Authority of India [AAI])
(612787)",Karnataka,01/2024,"01/2026
03/2026","320.47
(320.47)",56.54,36
12,"Construction of New Domestic Terminal Building and Miscellaneous Works at
Belagavi Airport.
(Airport Authority of India [AAI])
(612788)",Karnataka,02/2024,"01/2026
01/2026","322.45
(322.45)",115.82,48
13,"Development of additional RESA on either end on Runway 10-28 at Calicut Airport.
Construction of embankment with slope protection, drainage system and associated
works for additional RESA on either end on Runway 10-28
(Airport Authority of India [AAI])
(612789)",Kerala,02/2024,"09/2025
03/2026","484.57
(484.57)",74.67,19
14,"Construction of Terminal Building & Associated works at Leh Airport, Ladakh
(Airport Authority of India [AAI])
(400010)",Ladakh,09/2018,"09/2021
10/2025","480
(640)",427.04,67
15,"C/o NITB Imphal Airport
(Airport Authority of India [AAI])
(706718)",Manipur,07/2022,"07/2024
12/2026","499
(499)",160.48,41
16,"Procurment of 30 Nos ACFTs of WT Capacity 10KL at Various Airports
(Airport Authority of India [AAI])
(611440)","Multi-States
(Andhra Pradesh,
Bihar, Delhi,
Gujarat,
Jharkhand,
Karnataka, Kerala,
Madhya Pradesh,
Odisha, Tamil
Nadu, Telangana,
Uttar Pradesh,
West Bengal)",05/2023,"06/2025
(-)","215.17
(215.17)",104.92,53
17,"SITC of ATM Automation System and ASMGCS [Including SMR & MLAT] for Mumbai,
Navi Mumbai, MOPA [without ASMGCS], HIAL & BIAL
(Airport Authority of India [AAI])
(611570)","Multi-States (Goa,
Karnataka,
Maharashtra,
Telangana)",10/2022,"09/2025
(-)","500.48
(500.48)",306.21,74
18,"Construction of New Passenger Terminal Building for Domestic Operations at Jodhpur
Airport.
(Airport Authority of India [AAI])
(701127)",Rajasthan,04/2023,"11/2024
10/2025","480
(480)",254.71,77
19,"Construction of New Integrated Passenger Terminal Building at Udaipur Airport
(Airport Authority of India [AAI])
(701128)",Rajasthan,11/2022,"03/2026
10/2026","887
(887)",312.4,44
20,"Widening of basic strip at Western Side of Runway Chainage 80m to 920m i/c slope
stabilization Measures [Balance work] of uphill and Improvement of Storm Water
Drainage System at Pakyong Airport, Sikkim on design & build basis [EPC] with
integrated 10 years maintenance.
(Airport Authority of India [AAI])
(612793)",Sikkim,12/2023,"02/2026
(-)","323.26
(323.26)",29.69,12
21,"Modernization of Chennai Airport, Phase II, Part 2
(Airport Authority of India [AAI])
(611602)",Tamil Nadu,06/2023,"07/2025
03/2026","1207
(1207)",376.47,21
22,"Construction of New Terminal Building, Second Link Taxi Track, Apron Expansion,
and associated works at Prayagraj Airport- On Design & Build Basis.
(Airport Authority of India [AAI])
(612063)",Uttar Pradesh,08/2023,"11/2024
08/2025","219.18
(274.38)",206.33,97
23,"Lucknow Airport-Terminal 3- Phase 1 & Other Associated Works
(Adani Airport Holdings Limited)
(701091)",Uttar Pradesh,09/2018,"03/2026
(-)","3100
(3100)",0,99.96
