Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
623,"Multi tracking of Son Nagar-Andal 374.53 rkm & 814.38 tkm
(East Central Railway [ECR] - I)
(616699)","Multi-States
(Bihar, Jharkhand)","08/2023
(08/2023)","03/2028
(-)","12333.57
(12333.6)",508.44,12
624,"Koderma-Tilaiya New Line
(East Central Railway [ECR] - I)
(705375)","Multi-States
(Bihar, Jharkhand)","11/2004
(03/2002)","02/2025
(02/2026)","1626
(2020)",2000.4,95
625,"Pirpainti - Jasidih [100.52 Km] New BG line
(Eastern Railway [ER] - I)
(705385)","Multi-States
(Bihar, Jharkhand)","03/2014
(03/2022)","03/2028
(03/2028)","2555
(2555)",773.15,48
626,"NER Provision of Automatic Block Signalling on Gorakhpur Cantt[Excl] Chhapra
Gramin & Burhwal Jn [Excl] Sitapur Jn section of high density routes
(North Eastern Railway [NER])
(611669)","Multi-States
(Bihar, Uttar
Pradesh)","NA
(06/2023)","03/2027
(-)","380.47
(380.47)",24.53,0
627,"Gorakhpur-Valmikinagar Doubling project
(NER)
(617224)","Multi-States
(Bihar, Uttar
Pradesh)","08/2023
(03/2024)","12/2027
(-)","1120
(1120)",220.18,21
628,"Chhapra-Ballia Patch Doubling
(North Eastern Railway [NER])
(705562)","Multi-States
(Bihar, Uttar
Pradesh)","03/2013
(12/2015)","02/2025
(03/2026)","963
(1046)",911.66,95
629,"Katihar - Kumedpur Doubling Line Project
(GM/C/ NFR)
(706844)","Multi-States
(Bihar, West
Bengal)","08/2022
()","08/2027
(08/2027)","942
(942)",356,45
630,"Rajnandgaon - Nagpur [Kalumna] Third Railway Line [228.30 km]
(South East Central Railway [SECR] - II)
(705617)","Multi-States
(Chhattisgarh,
Maharashtra)","09/2016
(12/2016)","12/2024
(06/2026)","3545
(3545)",3466.53,96
631,"Sardega -Bhalumuda New Double line [37.24 Km]
(SECR)
(617390)","Multi-States
(Chhattisgarh,
Odisha)","09/2024
(09/2024)","03/2028
(-)","1281.81
(1281.81)",128,0
632,"Jagdalpur-Koraput
(East Coast Railway [ECoR] - II)
(705511)","Multi-States
(Chhattisgarh,
Odisha)","12/2015
(03/2016)","03/2024
(12/2026)","1547
(1547)",1323.05,90
633,"Jharsuguda-Bilaspur Fourth Railway Line [206 km]
(SECR)
(705616)","Multi-States
(Chhattisgarh,
Odisha)","09/2016
(09/2016)","10/2024
(12/2025)","2140
(2979)",2160.07,92
634,"Mumbai-Ahmedabad High Speed Rail Project- 508 km
(National High Speed Rail Corporation [NHSRC])
(705728)","Multi-States
(Dadra & Nagar
Haveli and Daman
& Diu, Gujarat,
Maharashtra)","03/2015
(09/2017)","08/2027
(12/2029)","108000
(108000)",81242.89,54
635,"New Delhi- Mumbai Speed Booster[160Kmph] Project
(PCE/WR)
(705793)","Multi-States (Delhi,
Gujarat, Madhya
Pradesh,
Maharashtra,
Rajasthan)","09/2019
(09/2019)","03/2024
(-)","6806.44
(6806.44)",135.65,0
636,"Hospet - Tinaighat - Vasco Rail Doubling Project
(RVNL - II)
(705650)","Multi-States (Goa,
Karnataka)","03/2010
(07/2012)","03/2027
(12/2027)","5060
(5060)",5007.82,86
637,"Hospet-Hubli-Vasco da Gama Line Electrification Project
(RVNL)
(706950)","Multi-States (Goa,
Karnataka)","07/2015
(05/2018)","03/2023
(03/2024)","744.49
(1122.62)",969.05,95
638,"Western Dedicated Freight Corridor
(DFCCIL)
(705237)","Multi-States
(Gujarat, Haryana,
Maharashtra,
Rajasthan, Uttar
Pradesh)","02/2008
(01/2012)","03/2022
(12/2025)","51101
(124005)",124623,96
639,"New line Dahod-Indore via Sardarpur, Jabuwa and Dhar
(Western Railway [WR] - II)
(705453)","Multi-States
(Gujarat, Madhya
Pradesh)","06/2012
(06/2012)","02/2027
(02/2027)","456.07
(3516.77)",3531,48
640,"Chhota Udaipur - Dhar New Line Project [157 km]
(Western Railway [WR] - II)
(705454)","Multi-States
(Gujarat, Madhya
Pradesh)","11/2008
(01/2014)","12/2025
(12/2025)","1794
(1794)",1812.56,80
641,"MUMBAI CENTRAL VIRAR VADODARA AHMEDABAAD TRAIN PROTECTION
SYSTEM 500 RKM
(Western Railway)
(611452)","Multi-States
(Gujarat,
Maharashtra)","09/2019
(03/2023)","12/2025
(06/2025)","311
(311)",208,92
642,"Taranga Hill-Abu Road via Ambaji
(North Western Railway [NWR])
(400022)","Multi-States
(Gujarat,
Rajasthan)","07/2022
(07/2022)","07/2030
(07/2030)","2798
(2798)",1931.66,16
643,"LUNI- SAMDARI- BHILDI DOUBLING
(North Western Railway [NWR])
(616842)","Multi-States
(Gujarat,
Rajasthan)","02/2024
(02/2024)","07/2027
(-)","3085.59
(3085.59)",277.6,12
644,"Chandigarh-Baddi New Rail Line- 36 km
(Northen Railway [NR])
(705424)","Multi-States
(Haryana,
Himachal Pradesh)","02/2018
(02/2018)","12/2026
(12/2026)","1540
(1540.13)",522.31,31
645,"Rewari - Kathuwas Doubling Project [27.72 Km]
(North Western Railway [NWR])
(611861)","Multi-States
(Haryana,
Rajasthan)","02/2023
(12/2022)","06/2027
(06/2027)","352
(352)",258.15,65
646,"Nangal Dam-Talwara New Broad Gauge Line [84 KM] and Taking Over Siding
Mukerian-Talwara [29 KM]
(Northen Railway [NR])
(705410)","Multi-States
(Himachal
Pradesh, Punjab)","03/1983
(05/1985)","12/2025
(01/2027)","2018
(2018)",2053.9,45
