Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
1495,"Rehabiitation and upgradation from km 121/000 to 154/000 Nakrekal to Mallampally
section of NH-365 to 2 lane with paved shoulders in the state of Telangana in the EPC
mode
(MoRTH)
(618025)",Telangana,"03/2018
(06/2018)","12/2019
(-)","192.67
(192.67)",0,96
1496,"Rehabilitation and upgradation to two lane with paved shoulders from Km 0/000 to
72/6 of NH-365 Nakrekal to Tanamcherla section under NHDP IV in the state of
Telangana under EPC mode
(MoRTH)
(618026)",Telangana,"06/2017
(11/2017)","10/2019
(-)","605.08
(605.08)",0,99
1497,"Widening to two lane with paved shoulders from Km 0/000 to Km 79/300 of
Kalwakurthy - Kollapur section of NH-167K in the state of Telangana under annual
plan 2021-22 on EPC mode under NHO.
(MoRTH)
(618104)",Telangana,"03/2022
(07/2023)","07/2025
(-)","886.69
(886.69)",557.4,78
1498,"Widening and strengthening to 4 lane / 2-lane with paved shoulders of Mahabubnagar
- Chincholi section from km 60/255 to Km 102/834 of NH-167N in the State of
Telangana on EPC mode.
(MoRTH)
(618105)",Telangana,"03/2022
(10/2023)","10/2025
(-)","631.49
(631.49)",71.91,30
1499,"Widening and Strengthening to 2/4 lane with paved shoulders of Mahabubnagar
Chincholi section from Km 0/0 to Km 60/255 of NH-167N in the state of Telangana
under Annual plan 2021-22 on EPC modepackage-I under NHO Job No.167N-TS-
2021-22-75
(MoRTH)
(618106)",Telangana,"01/2022
(01/2023)","01/2025
(-)","703.68
(703.68)",252.3,90
1500,"Widening & strengthening of existing carriageway in 2 lane with paved shoulders from
km 25/0 to 59/2 design Ch km 25.467 to 59.200 of NH - 353C on EPC mode in the
state of Telangana
(MoRTH)
(618132)",Telangana,"02/2018
(06/2018)","06/2020
(-)","206.13
(206.13)",152.77,98
1501,"Widening and Improvement of existing carriage way to 2 lane with paved shoulders
from Km. 86/160 to 131/730 of Jangaon-Duddeda section of NH-365B in the State of
Telangana on EPC Mode
(MoRTH)
(618141)",Telangana,"01/2022
(12/2022)","12/2024
(06/2025)","423.48
(423.48)",159.94,75
1502,"Widening to Two lane with Paved shoulders from km.40/410 to 84/037 of
Thirumanlagiri-- Suryapet Section of NH-365B earstwhile section of SH-16
(MoRTH)
(618142)",Telangana,"01/2017
(05/2017)","05/2019
(05/2019)","244.54
(244.54)",0,99
1503,"widening to two lane with Paved shoulders from Km.0/970 to Km.40/410 of Jangaon -
Thirumal giriof NH- 365B in the state of Telanganaon EPC mode under NHO Annual
Plan 2016-17
(MoRTH)
(618143)",Telangana,"03/2017
(11/2017)","10/2019
(10/2019)","197
(197)",0,92
1504,"Rehabilitation and Up-gradation of Valigonda to Thorrur Section to Two Lane with
Paved Shoulders from Km 39.180 to Km 108.300 of NH-930P in the State of
Telangana on Engineering, Procurement and Construction EPC Basis
(MoRTH)
(618186)",Telangana,"01/2022
(12/2022)","12/2024
(04/2025)","549.28
(549.28)",280.02,82
