Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
445,"Haldia Panagarh Pipeline Project
(Hindustan Petroleum Corporation Limited)
(709753)
(N16000478)",West Bengal,"11/2022
(11/2022)","11/2025
(05/2026)","1010
(1107)",808.43,94.2
446,"CGD Project in Malda, Birbhum, Murshidabad, Dakshin Dinajpur GA ID 11A.03
(Hindustan Petroleum Corporation Limited)
(709758)
(N16000498)",West Bengal,"06/2022
(06/2022)","06/2030
(06/2030)","2628
(2628)",567.65,35.4
447,"City Gas Distribution Project at East Mednipore, West Mednipore & Jhargram Districts
(MinistryofPetroleumNaturalGas)
(709772)
(N16000491)",West Bengal,"03/2022
(03/2022)","06/2031
(06/2031)","609
(609)",62.42,2.8
448,"City Gas Distribution Projects at Alipurduar and Cooch Behar
(Bharat Petroleum Corporation Limited [BPCL])
(709791)
(N16000522)",West Bengal,"12/2022
(12/2022)","03/2030
(03/2030)","1017
(1017)",224.72,43.5
,Total (93),,,,363711.6,198328.45,
,Ministry of Health & Family Welfare,,,,,,
,Healthcare,,,,,,
449,"AIIMS Darbhanga
(PMSSY AND Institute of NATIONAL Importance)
(701172)
(-)",Bihar,"NA
(09/2020)","09/2024
(-)","1264
(1264)",0,0
450,"Establishment of new GMC Jamui
(Medical Education, Ministry of Health and Family Welfare)
(707020)
(-)",Bihar,"03/2019
(10/2022)","10/2025
(-)","250
(500)",100.21,32
451,"Establishment of new GMC Korba
(Medical Education, Ministry of Health and Family Welfare)
(707044)
(-)",Chhattisgarh,"02/2023
(10/2023)","12/2026
(-)","325
(322.85)",167.49,54
452,"Establishment of new GMC Mahasamund
(Medical Education, Ministry of Health and Family Welfare)
(707045)
(-)",Chhattisgarh,"10/2023
(10/2023)","05/2026
(-)","325
(325)",311.5,75
453,"Establishment of new GMC Kanker
(Medical Education, Ministry of Health and Family Welfare)
(707046)
(-)",Chhattisgarh,"02/2020
(09/2024)","03/2027
(-)","325
(325)",25,52
454,"Setting up IT Infrastructure including Network Security and Hosting at AIIMS, New
Delhi
(PMSSY AND Institute of NATIONAL Importance)
(617882)
(-)",Delhi,"09/2025
(09/2025)","09/2026
(-)","358.19
(358.19)",0,0
455,"Redevelopment of Residential colonies at Ayur Vigyan Nagar and West Ansari Nagar
campuses of AIIMS, New Delhi
(PMSSY AND Institute of NATIONAL Importance)
(617883)
(-)",Delhi,"10/2016
(06/2022)","06/2027
(-)","4441
(4441)",24.68,61
456,"AIIMS Rajkot
(PMSSY AND Institute of NATIONAL Importance)
(701170)
(-)",Gujarat,"01/2019
(01/2019)","03/2026
(03/2026)","1195
(1195)",775.6,93.7
457,"Establishment of new GMC Panchmahal
(Medical Education, Ministry of Health and Family Welfare)
(707049)
(-)",Gujarat,"09/2022
(09/2022)","03/2026
(-)","325
(663.5)",438.34,38
458,"Establishment of new GMC Porbandar
(Medical Education, Ministry of Health and Family Welfare)
(707050)
(-)",Gujarat,"04/2022
(10/2022)","09/2024
(-)","325
(618.98)",928.64,68
459,"AIIMS Majra Rewari Haryana
(PMSSY AND Institute of NATIONAL Importance)
(701173)
(N21000032)",Haryana,"02/2019
(02/2019)","12/2026
(12/2026)","1299
(1646.43)",651.42,57.2
460,"AIIMS Kashmir at Awantipora Jammu & Kashmir
(PMSSY AND Institute of NATIONAL Importance)
(701167)
(N28000150)","Jammu and
Kashmir","01/2019
(03/2019)","12/2025
(12/2026)","1828
(2160.84)",1545.05,75
461,"Establishment of new GMC Koderma
(Medical Education, Ministry of Health and Family Welfare)
(707021)
(-)",Jharkhand,"09/2023
(02/2024)","08/2026
(-)","250
(504.8)",269,30
462,"Establishment of new GMC Chaibasa [Singhbhum]
(Medical Education, Ministry of Health and Family Welfare)
(707022)
(-)",Jharkhand,"06/2018
(03/2023)","09/2025
(-)","250
(454.1)",63,48
463,"Establishment of new GMC Rajgarh
(Medical Education, Ministry of Health and Family Welfare)
(707058)
(-)",Madhya Pradesh,"12/2021
(11/2022)","04/2024
(-)","325
(325)",168,71
464,"Establishment of new GMC Mandla
(Medical Education, Ministry of Health and Family Welfare)
(707059)
(-)",Madhya Pradesh,"08/2023
(10/2023)","04/2026
(-)","325
(325)",72.41,43
465,"Establishment of new GMC Kapurthala
(Medical Education, Ministry of Health and Family Welfare)
(707069)
(-)",Punjab,"11/2019
(07/2027)","12/2028
(-)","325
(550)",0,0
466,"Establishment of new GMC Hoshiarpur
(Medical Education, Ministry of Health and Family Welfare)
(707070)
(-)",Punjab,"01/2020
(03/2026)","12/2028
(-)","325
(374.75)",1,1
