Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
426,"CUF POL Depot at Sadashibpur [Meramundali], Odisha
(MinistryofPetroleumNaturalGas)
(709800)",Odisha,"04/2021
(04/2021)","03/2026
(03/2026)","393.54
(393.54)",110.87,48
427,"Life Extension of 48 well platforms of Mumbai High & Heera Fields
(Oil and Natural Gas Corporation Limited [ONGC])
(400119)",Offshore,"12/2015
(12/2015)","04/2018
(12/2025)","3190.69
(3375.9)",3119.29,89
428,"PRP-VIII [Group-A]
(Ministry of Petroleum & Natural Gas)
(616950)",Offshore,"09/2024
(09/2024)","02/2026
(02/2026)","1486.4
(1486.4)",272.3,23
429,"Daman Upside Development Project
(Oil and Natural Gas Corporation Limited [ONGC])
(709839)",Offshore,"06/2022
(06/2022)","10/2025
(02/2026)","4144.41
(6406.9)",4563.85,88
430,"MHN TCPP PGC BGC Project [MTPBP]
(Ministry of Petroleum & Natural Gas)
(709848)",Offshore,"06/2022
(06/2022)","05/2026
(05/2026)","2329.45
(2354.23)",1148.9,59
431,"PRP-VIII Group B [NH & BS Asset]
(Ministry of Petroleum & Natural Gas)
(709849)",Offshore,"06/2024
(06/2024)","02/2026
(02/2026)","2379.84
(3165.53)",1806.88,64
432,"Integrated Development of 4 Contract Areas under DSF-II
(Ministry of Petroleum & Natural Gas)
(709851)",Offshore,"05/2023
(05/2023)","04/2027
(04/2027)","6183.79
(6183.79)",594.28,23
433,"2G Ethanol Biorefinery at Bathinda
(Hindustan Petroleum Corporation Limited [HPCL])
(400171)",Punjab,"05/2020
(05/2020)","02/2023
(03/2026)","1421.46
(1421.46)",1201.66,95
434,"City Gas Distribution Project at Pathankot District
(MinistryofPetroleumNaturalGas)
(709770)",Punjab,"03/2022
(03/2022)","09/2033
(09/2033)","151
(151)",8.75,2
435,"CBR 9 MMTPA Project
(Chennai Petroleum Corporation Limited [CPCL])
(604795)",Tamil Nadu,"09/2021
(09/2021)","06/2025
(10/2028)","31580
(36354)",1342.27,10
436,"Laying of new 28 inch Desal Water Pipeline and 10 inch Reject Water Pipeline
between CPCL Manali Refinery and CPCL Desalination plant at Ennore
(Chennai Petroleum Corporation Limited [CPCL])
(709750)",Tamil Nadu,"01/2024
(01/2024)","09/2025
(12/2025)","205
(205)",56.22,51
437,"City Gas Distribution Projects at the Nilgiris and Erode districts
(Bharat Petroleum Corporation Limited [BPCL])
(709796)",Tamil Nadu,"12/2022
(12/2022)","03/2030
(03/2030)","3685
(3685)",244.45,20
438,"Creation of Gas Dehydration Facilities, Tripura Asset
(Oil and Natural Gas Corporation Limited [ONGC])
(709837)",Tripura,"03/2022
(03/2022)","05/2024
(12/2025)","209.33
(131.51)",70.1,66
439,"PP Project, Pata
(Gas Authority of India Limited [GAIL])
(400161)",Uttar Pradesh,"03/2019
(03/2019)","01/2024
(11/2025)","910.56
(1299.02)",1041,98
440,"Revamping / Augmentation of Facilities at Mathura Bitumen Plant
(MinistryofPetroleumNaturalGas)
(709781)",Uttar Pradesh,"04/2022
(04/2022)","06/2027
(12/2026)","260.12
(260.12)",8.14,30
441,"City Gas Distribution Projects at Lakhimpur Kheri , Sitapur, Bahraich,
Shravasti,Balrampur, Siddharth Nagar & Maharajganj districts
(Bharat Petroleum Corporation Limited [BPCL])
(709795)",Uttar Pradesh,"12/2022
(12/2022)","06/2030
(06/2030)","16654
(16654)",595.93,12
442,"Durgapur - Haldia Pipeline [Section-3B of JHBDPL Project]
(Ministry of Petroleum & Natural Gas)
(617302)",West Bengal,"03/2017
(03/2017)","12/2020
(12/2025)","1740
(2493.15)",2285,90
443,"Haldia Panagarh Pipeline Project
(Hindustan Petroleum Corporation Limited)
(709753)",West Bengal,"11/2022
(11/2022)","11/2025
(05/2026)","1010
(1010)",692.62,84
444,"CGD Project in Malda, Birbhum, Murshidabad, Dakshin Dinajpur GA ID 11A.03
(Hindustan Petroleum Corporation Limited)
(709758)",West Bengal,"06/2022
(06/2022)","06/2030
(06/2030)","2628
(2628)",348.91,29
445,"City Gas Distribution Project at East Mednipore, West Mednipore & Jhargram Districts
(MinistryofPetroleumNaturalGas)
(709772)",West Bengal,"03/2022
(03/2022)","06/2031
(06/2031)","609
(609)",58.09,2
446,"City Gas Distribution Projects at Alipurduar and Cooch Behar
(Bharat Petroleum Corporation Limited [BPCL])
(709791)",West Bengal,"12/2022
(12/2022)","03/2030
(03/2030)","1017
(1017)",194.58,40
,Total (86),,,,348775.78,185369.27,
,Ministry of Health & Family Welfare,,,,,,
,Healthcare,,,,,,
447,"AIIMS Majra Rewari Haryana
(PMSSY AND Institute of NATIONAL Importance)
(701173)",Haryana,"12/2023
(02/2019)","02/2023
(12/2026)","1299
(1299)",349.41,28
448,"AIIMS Kashmir at Awantipora Jammu & Kashmir
(PMSSY AND Institute of NATIONAL Importance)
(701167)","Jammu and
Kashmir","01/2019
(11/2020)","01/2025
(12/2025)","1828
(1828)",1321.7,68
449,"AIIMS Bibinagar
(PMSSY AND Institute of NATIONAL Importance)
(701171)",Telangana,"12/2018
(07/2022)","09/2022
(12/2025)","1028
(1365.95)",806.8,85
,Total (3),,,,4155,2477.91,
,Ministry of Labour and Employment,,,,,,
,Healthcare,,,,,,
450,"Construction of 350 beds + 50 Super Specialty beds ESIC Hospital Sheelanagar,
Visakhapatnam, Andhra Pradesh
(Employee's State Insurance Company [ESIC])
(612167)",Andhra Pradesh,"02/2021
(04/2023)","10/2025
(01/2026)","384.27
(384.27)",105,40
451,"Construction of 200 bedded ESIC Hospital with 62 Nos Staff quarters , Beltola
(Employee's State Insurance Company [ESIC])
(612201)",Assam,"12/2017
(10/2021)","04/2025
(10/2025)","143.23
(154.75)",101.83,93
452,"C/o Construction of 200 bedded [Up-gradable to 300 bedded] ESI Hospital at Surat
Gujarat.
(Employee's State Insurance Company [ESIC])
(612185)",Gujarat,"06/2019
(03/2021)","06/2025
(05/2025)","209.36
(209.36)",180.54,98
