Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code) (PMGID)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
248,"Transmission System for Strengthening to facilitate evacuation of power from
Bhadla/Bikaner Complex
(Power Grid Corporation of India Limited [POWERGRID])
(617269)
(N18000423) (-)",Uttar Pradesh,"12/2024
(12/2024)","06/2026
(12/2026)","212.81
(212.81)",6.38,3
,Total (67),,,,203895.17,66309.18,
,Ministry of Housing & Urban Affairs,,,,,,
,Construction,,,,,,
249,"Construction of One Tower of Office Complex and another Tower of Residential
quarters consisting of 10Nos. Type-V, 10Nos. Type-VI & 1No.Type-VII Quarters i/c
internal water supply, sanitary installation and all development and bulk services,
Horticulture works on EPC Mode-I basis i/c comprehensive operation and
maintenance of Civil, E&M services for 7 years after completion of original
construction work for Ranga Reddy, Secunderabad, Medchal, AuditI, Audit-II
Commissionerates of Central Tax at Khajaguda, Serilingampally, Hyderabad.
(Central Public Works Department - CPWD)
(617412)
(-) (9743)",Telangana,"03/2024
(11/2024)","09/2027
(-)","644
(644)",161.57,22
,Total (1),,,,644,161.57,
,Real Estate,,,,,,
250,"Integrated Command control Center [ICCC] - Construction and Development of
Integrated Command Control Center with Security, Surveillance, ITMS, Connecting
Port, Ship Service, Smart Solid Waste Management, Smart Public Transport System
(ministry of housing and urban affairs)
(707229)
(-) (-)","Andaman &
Nicobar","07/2021
(11/2021)","05/2023
(10/2025)","209.88
(230)",37.35,97
251,"Redevelopment of Seven General Pool Residential Accommodation [GPRA] Colonies
in Delhi
(National Buildings Construction Corporation [NBCC])
(400188)
(-) (2914)",Delhi,"07/2016
(05/2018)","12/2025
(12/2025)","32850
(32841)",14370.45,46.7
252,"Rehablitation in Junavadaj Area Smart City Project
(ministry of housing and urban affairs)
(701719)
(-) (-)",Gujarat,"02/2016
(06/2016)","07/2022
(07/2026)","539
(539)",623.44,98.5
253,"Green Building Development Project
(ministry of housing and urban affairs)
(701766)
(-) (-)",Uttarakhand,"11/2019
(08/2019)","11/2023
(12/2026)","150.97
(206)",56.76,40.05
,Total (4),,,,33749.85,15088,
,Urban Public Transport,,,,,,
254,"Patna Metro Rail Project
(Patna Metro Rail Corporation Ltd. [PMRCL])
(702627)
(N28000148) (3114)",Bihar,"02/2019
(02/2019)","02/2024
(06/2027)","13365.77
(13365.8)",5198.09,50.05
255,"Delhi Metro Rail Phase-IV [2 Corridors]
(Delhi Metro Rail Corporation Limited [DMRC])
(617207)
(-) (7531)",Delhi,"03/2024
(03/2024)","03/2029
(-)","8399.81
(8399.81)",120.25,3.8
256,"Delhi Metro Rail Phase V A
(Delhi Metro Rail Corporation Limited [DMRC])
(619031)
(-) (11591)",Delhi,"01/2026
(01/2026)","12/2028
(-)","12014.91
(12014.9)",256.11,5.55
257,"DMRTS Phase - IV [3 Priority Corridors]
(Delhi Metro Rail Corporation Limited [DMRC])
(702632)
(N28000135) (3115)",Delhi,"07/2019
(07/2019)","03/2025
(12/2026)","24948.65
(24948.7)",20545.86,81.32
258,"Surat Metro Rail Project
(Gujarat Metro Rail Corporation Limited [GMRCL])
(702630)
(N28000138) (3141)",Gujarat,"03/2019
(03/2019)","03/2024
(03/2027)","12020.32
(12020.3)",9031.25,80.25
259,"Metro connectivity from Millennium City Centre to Cyber City with Spur to Dwarka
Expressway, Gurugram.
(Gurugram Metro Rail Limited [GMRL])
(619022)
(-) (11535)",Haryana,"07/2023
(08/2024)","07/2027
(-)","5452.72
(5452.72)",159.67,4.3
260,"Bangalore Metro Rail Project - PHASE-3
(Bengaluru Metro Rail)
(612878)
(-) (-)",Karnataka,"NA
(06/2026)","05/2031
(-)","15611
(15611)",0,0
261,"Construction of Bangalore Metro Rail Project Phase 2.
(Bengaluru Metro Rail)
(702635)
(N28000058) (2472)",Karnataka,"02/2014
(02/2016)","03/2021
(09/2026)","26405.14
(30695.1)",29812.97,95.6
262,"Construction Bangalore Metro Rail Project Phase-2A & 2B
(Bengaluru Metro Rail)
(702665)
(N28000151) (2476)",Karnataka,"06/2021
(01/2019)","06/2026
(06/2026)","14788.1
(14788.1)",10376.43,66
263,"Kochi Metro Rail Phase 2 Development Project
(CSPCC Projects)
(702664)
(N28000158) (4736)",Kerala,"11/2022
(11/2022)","11/2026
(11/2026)","1957.05
(1957.05)",752.34,38
264,"Bhopal Metro Rail Project
(Madhya Pradesh Metro Rail Co Limited [MPMRCL])
(702625)
(N28000124) (3137)",Madhya Pradesh,"11/2018
(11/2018)","11/2022
(06/2028)","6941.4
(6941.4)",4334.41,62.2
