Sl.No,Project Name (Agency) (Project Code),State,"Date of
Approval
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
372,"Capacity Expansion of Panipat Refinery from 15 to 25 MMTPA
(Ministry of Petroleum & Natural Gas)
(701289)",Haryana,02/2021,"09/2024
12/2025","34627
(36225)",23977.47,88
373,"Installation of Multiple Effect Evaporator [MEE] for ETP-1, 2 & 4 of Panipat Refinery
and Petrochemical Complex.
(MinistryofPetroleumNaturalGas)
(709783)",Haryana,12/2020,"06/2023
06/2026","165.13
(247.69)",129.27,70
374,"City Gas Distribution Project at Jammu, Udhampur, Reasi, Samba and Kathua
Districts
(MinistryofPetroleumNaturalGas)
(709773)","Jammu and
Kashmir",03/2022,"03/2032
03/2032","538
(538)",4.09,0
375,"Development of Jharia CBM Block [Phase-1]
(Oil and Natural Gas Corporation Limited [ONGC])
(610984)",Jharkhand,11/2019,"01/2024
08/2025","431
(431)",211.34,58
376,"Laying of Natural Gas Pipeline from Hazaribagh to Ranchi [HRPL]
(MinistryofPetroleumNaturalGas)
(709785)",Jharkhand,02/2023,"02/2026
02/2026","202.07
(202.07)",55.46,45
377,"Power System Upgradation Project
(Mangalore Refinary and Petrochemicals Limited)
(612790)",Karnataka,10/2023,"11/2025
11/2025","385
(385)",132.73,63
378,"Demo Bio-ATF Project
(Ministry of Petroleum & Natural Gas)
(616879)",Karnataka,03/2024,"01/2027
01/2027","364
(364)",22.82,10
379,"Revamping/ Augmentation of facilities at existing port terminal at Mangalore
(Ministry of Petroleum & Natural Gas)
(709774)",Karnataka,01/2022,"12/2025
12/2025","463
(500.62)",264.44,82
380,"Replacement and Extension of Jetty Pipelines [REJP] at KR
(Bharat Petroleum Corporation Limited [BPCL])
(709790)",Kerala,03/2023,"03/2026
03/2026","621.87
(621.87)",192.66,83
381,"Setting up Polypropylene Unit at Kochi Refinery
(MinistryofPetroleumNaturalGas)
(709799)",Kerala,12/2023,"10/2027
10/2027","4460
(4460)",255.64,12
382,"Ethylene Cracker Project at Bina Refinery including downstream Petrochemical Plants
and expansion of Refinery
(MinistryofPetroleumNaturalGas)
(709798)",Madhya Pradesh,05/2023,"05/2028
05/2028","43367
(43367)",1788.6,13
383,"Debottlenecking and Augmentation of Cryogenic facilities at Uran LPG Import
Terminal
(Department of Water Resources, River Development & GR)
(400158)",Maharashtra,04/2021,"02/2024
12/2025","1164.69
(1629.86)",901.73,84
384,"500 KTA PDHPP Project, Usar
(Ministry of Petroleum & Natural Gas)
(400168)",Maharashtra,04/2021,"04/2025
10/2025","8797
(11256)",6768.36,85
385,"Construction of lube oil blending plant at Rasayani
(Ministry of Petroleum & Natural Gas)
(610985)",Maharashtra,05/2022,"12/2023
12/2025","423.39
(526.26)",287.49,78
386,"Lube Modernization & Bottom Upgradation Project at Mumbai Refinery
(Ministry of Petroleum and Natural Gas)
(616933)",Maharashtra,12/2024,"03/2028
03/2028","4679
(4679)",188.88,4
387,"HP TDAE Unit in Mumbai Refinery
(Hindustan Petroleum Corporation Limited)
(709760)",Maharashtra,06/2024,"04/2026
04/2026","240
(240)",34.4,37
388,"City Gas Distribution Project at Beed, Jalgaon and Jalna Districts
(MinistryofPetroleumNaturalGas)
(709771)",Maharashtra,03/2022,"09/2031
09/2031","865
(865)",68.01,2
389,"Construction of Additional Tankages and Allied Facilities at JNPT Terminal
(MinistryofPetroleumNaturalGas)
(709780)",Maharashtra,04/2022,"08/2026
08/2026","341.43
(436.14)",279.19,50
390,"ATF Pipeline from Jawaharlal Nehru Port Trust to Navi Mumbai International Airport
(Indian Oil Corporation Limited [IOCL])
(709782)",Maharashtra,08/2022,"08/2025
03/2026","165
(165)",89.94,72
391,"Installation of Independent De- Aromatized Solvents [DAS] production facilities at MR
(Bharat Petroleum Corporation Limited [BPCL])
(709789)",Maharashtra,03/2023,"07/2025
12/2025","405
(343)",201.28,84
392,"POL & LOBS Installations with Receipt Pipelines at Rasayani
(Bharat Petroleum Corporation Limited [BPCL])
(709797)",Maharashtra,05/2023,"05/2026
05/2026","2585
(2585)",564.58,58
