Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code) (PMGID)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
133,"TILABONI UG
(Eastern Coal Fields Limited [ECL])
(400186)
(N06000276) (2989)",West Bengal,"01/2023
(01/2023)","03/2029
(-)","749.08
(749.07)",53.97,11.91
134,"JHANJRA EXPANSION UG
(Eastern Coal Fields Limited [ECL])
(400312)
(N06000223) (995)",West Bengal,"04/2020
(04/2020)","03/2029
(-)","1210.12
(1210.12)",628.68,52.04
135,"SONEPUR BAZARI EXPANSION OCP [
(Eastern Coal Fields Limited [ECL])
(400315)
(N06000220) (966)",West Bengal,"07/2021
(07/2021)","03/2029
(-)","5365.88
(5365.88)",627.89,18.47
136,"ITAPARA OCP
(Eastern Coal Fields Limited [ECL])
(612816)
(N06000272) (5529)",West Bengal,"12/2023
(12/2023)","03/2030
(-)","929.1
(929.1)",71.43,8.35
137,"SHYAMSUNDARPUR UG INCLUDING SA
(Eastern Coal Fields Limited [ECL])
(613793)
(N06000191) (-)",West Bengal,"04/2020
(04/2020)","03/2026
(03/2028)","483.65
(483.65)",78.88,16.79
138,"PARASEA-BELBAID UG PROJECT
(Eastern Coal Fields Limited [ECL])
(613794)
(N06000277) (-)",West Bengal,"01/2023
(01/2023)","03/2028
(-)","389.1
(389.1)",132.48,22.18
139,"PARASCOLE JAMBAD OCP
(Eastern Coal Fields Limited [ECL])
(616230)
(N06000281) (6881)",West Bengal,"11/2024
(11/2024)","03/2037
(-)","1193.55
(1193.55)",11.42,0.23
,Total (113),,,,183618.68,47831.3,
,Electricity Generation,,,,,,
140,"50 MW Wind Power Project
(NLC India Limited [NLCIL])
(617299)
(N06000292) (-)",Gujarat,"07/2022
(01/2024)","06/2025
(01/2026)","383.84
(383.84)",329.59,52
141,"600 MW Khavda Solar Power Project
(NLC India Limited [NLCIL])
(617730)
(-) (10775)",Gujarat,"08/2023
(06/2024)","06/2026
(-)","3335.85
(3335.85)",2254.57,60
142,"200 MW SPP part of 510 MW CPSU scheme
(NLC India Limited [NLCIL])
(618991)
(-) (10796)",Gujarat,"07/2022
(03/2024)","12/2026
(-)","1221.41
(1221.41)",64.03,0
143,"100 MW SPP part of SECI 150 MW Hybrid
(NLC India Limited [NLCIL])
(618992)
(-) (-)",Gujarat,"07/2022
(04/2024)","12/2026
(-)","480.68
(480.68)",2.62,1.2
144,"NLC Talabira Thermal Power Project
(NLC India Limited [NLCIL])
(400231)
(N06000270) (2059)",Odisha,"01/2017
(01/2024)","03/2030
(-)","27212.96
(27213)",3455.88,2.1
145,"810 MW Solar Power Project - Rajasthan
(NLC India Limited [NLCIL])
(618981)
(-) (10776)",Rajasthan,"10/2024
(09/2025)","03/2028
(-)","4147.07
(4147.07)",224.77,0
,Total (6),,,,36781.81,6331.46,
,Railways,,,,,,
146,"Dharamjaigarh-Korba
(Railway)
(400203)
(-) (2277)",Chhattisgarh,"05/2018
(03/2017)","12/2026
(08/2026)","1686.22
(2438.53)",625.77,43.5
147,"Shivpur-Kathautia New Rail [BG] Line [49 km] [Package II of Tori-Shivpur-Kathautia
line]
(Ministry of Coal)
(400416)
(-) (371)",Jharkhand,"02/2018
(05/2022)","06/2025
(06/2027)","1799.64
(2564.34)",1713.19,71
,Total (2),,,,3485.86,2338.96,
,Ministry of Power,,,,,,
,Coal,,,,,,
148,"Tubed Coal Mine
(Damodar Valley Corporation)
(400192)
(-) (2418)",Jharkhand,"07/2016
(10/2016)","05/2026
(05/2026)","1581
(1581)",601.6,36
149,"Badam Coal Mining project of NTPC
(National Thermal Power Corporation [NTPC])
(603293)
(N18000367) (2576)",Jharkhand,"02/2019
(09/2019)","12/2056
(04/2027)","502
(784)",431.81,67.86
,Total (2),,,,2083,1033.41,
,Electricity Generation,,,,,,
150,"Dibang Multipurpose Project
(National Hydroelectric Power Corporation Limited [NHPC])
(602182)
(N18000362) (4934)",Arunachal Pradesh,"02/2023
(02/2023)","02/2032
(02/2032)","31876.39
(31876.4)",4713.64,17.67
151,"240MW Heo HE Project
(North Eastern Electric Power Corporation Limited)
(611698)
(-) (7620)",Arunachal Pradesh,"12/2024
(05/2025)","07/2029
(-)","1938.85
(1938.85)",105.5,5
