Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
147,"50 MW Solar PP Minedout Area
(NLC India Limited [NLCIL])
(615327)",Tamil Nadu,"08/2023
(02/2024)","03/2025
(12/2025)","218.03
(218.03)",164.7,69
148,"Ghatampur Thermal Power Plant 3 X 660 MW
(NLC India Limited [NLCIL])
(400259)",Uttar Pradesh,"07/2016
(02/2016)","11/2020
(12/2025)","17237.8
(21780.9)",20522.3,93
,Total (6),,,,50201.48,25385.19,
,Railways,,,,,,
149,"Dharamjaigarh-Korba
(Railway)
(400203)",Chhattisgarh,"05/2018
(03/2017)","12/2026
(08/2026)","1686.22
(1686.22)",353.12,42
150,"Shivpur-Kathautia New Rail [BG] Line [49 km] [Package II of Tori-Shivpur-Kathautia
line]
(Ministry of Coal)
(400416)",Jharkhand,"02/2018
(05/2022)","06/2025
(06/2026)","1799.64
(2564.34)",1462.35,61
,Total (2),,,,3485.86,1815.47,
,Ministry of Power,,,,,,
,Coal,,,,,,
151,"Tubed Coal Mine
(Damodar Valley Corporation)
(400192)",Jharkhand,"07/2016
(10/2016)","05/2026
(05/2026)","1581
(1581)",598.06,35
152,"Badam Coal Mining project of NTPC
(National Thermal Power Corporation [NTPC])
(603293)",Jharkhand,"02/2019
(09/2019)","12/2056
(04/2027)","502
(784)",313.88,59
,Total (2),,,,2083,911.94,
,Electricity Generation,,,,,,
153,"Dibang Multipurpose Project
(National Hydroelectric Power Corporation Limited [NHPC])
(602182)",Arunachal Pradesh,"02/2023
(02/2023)","02/2032
(02/2032)","31876.39
(31876.4)",3708.61,16
154,"240MW Heo HE Project
(North Eastern Electric Power Corporation Limited)
(611698)",Arunachal Pradesh,"12/2024
(05/2025)","07/2029
(-)","1938.85
(1938.85)",64.36,3
155,"186 MW Tato-I H E Project
(North Eastern Electric Power Corporation Limited)
(611699)",Arunachal Pradesh,"12/2024
(05/2025)","07/2029
(-)","1750.07
(1750.07)",116.08,2
156,"Buxar Thermal Power Project [1320 MW]
(Satluj Jal Vidyut Nigam [SJVN] Thermal Limited)
(602579)",Bihar,"03/2019
(06/2019)","01/2024
(12/2025)","10439.09
(13756.6)",12571.15,92
157,"Lara Super Thermal Power Project Stage-II [2 x 800 MW]
(National Thermal Power Corporation [NTPC])
(611930)",Chhattisgarh,"08/2023
(08/2023)","06/2028
(-)","15530
(15530)",2874,18
158,"Sipat Super Thermal Power Project, Stage-III [1x800 MW]
(National Thermal Power Corporation [NTPC])
(617188)",Chhattisgarh,"09/2024
(09/2024)","09/2029
(-)","9791
(9791)",856.56,8
159,"Bagodara Solar Power Project
(Satluj Jal Vidyut Nigam [SJVN] Thermal Limited)
(709747)",Gujarat,"03/2021
(05/2021)","12/2025
(12/2025)","339.35
(339.35)",317.59,51
160,"Dhaulasidh Hydro Electric Project [66 MW]
(Satluj Jal Vidyut Nigam [SJVN] Thermal Limited)
(602582)",Himachal Pradesh,"10/2020
(05/2021)","11/2025
(03/2027)","687.97
(1561.21)",986.12,70
161,"Luhri Stage-I Hydro Electric Project [210 MW]
(Satluj Jal Vidyut Nigam [SJVN] Thermal Limited)
(602593)",Himachal Pradesh,"11/2020
(11/2020)","01/2026
(10/2029)","1810.56
(3584.53)",1793.11,51
162,"382 MW Sunni Dam HEP
(Satluj Jal Vidyut Nigam [SJVN] Thermal Limited)
(602633)",Himachal Pradesh,"NA
(04/2018)","03/2027
(-)","2615
(2615)",495.57,0.5
163,"Sunni Dam Hydro Electric Project [382 MW]
(Satluj Jal Vidyut Nigam [SJVN] Thermal Limited)
(611586)",Himachal Pradesh,"01/2023
(01/2023)","04/2028
(12/2029)","2614.51
(4540.71)",1011.42,30
164,"Pakal Dul [Drangdhuran] Hydroelectric Project, 1000 MW
(National Hydroelectric Power Corporation Limited [NHPC])
(602525)","Jammu and
Kashmir","10/2014
(02/2018)","04/2020
(12/2026)","8112.12
(12728)",7581.19,74
165,"Kiru HE Project
(National Hydroelectric Power Corporation Limited [NHPC])
(602532)","Jammu and
Kashmir","03/2019
(02/2020)","09/2023
(12/2026)","4287.59
(5409)",3116.72,72
166,"Ratle HE Project - 850 MW, Ratle Hydroelectric Power Corporation Limited.
(National Hydroelectric Power Corporation Limited [NHPC])
(602535)","Jammu and
Kashmir","02/2021
(01/2022)","02/2026
(11/2028)","5281.94
(5281.94)",1112.08,25
167,"Kwar HE Project
(National Hydroelectric Power Corporation Limited [NHPC])
(605155)","Jammu and
Kashmir","05/2022
(11/2022)","11/2026
(03/2028)","4526.12
(4526.12)",1094.54,24
168,"Patratu Thermal Power Station Expansion Project Phase-I [3x800 MW]
(National Thermal Power Corporation [NTPC])
(400261)",Jharkhand,"07/2017
(11/2017)","03/2023
(11/2026)","17112
(20302)",17861.4,85
169,"Koderma Thermal Power Station Phase II [2X800 MW] At Koderma, Jharkhand
(Damodar Valley Corporation)
(611509)",Jharkhand,"04/2023
(11/2024)","03/2029
(-)","14358
(14358)",1381.54,3
170,"Subansiri Lower HE Project [2000 MW]
(National Hydroelectric Power Corporation Limited [NHPC])
(602096)","Multi-States
(Arunachal
Pradesh, Assam)","09/2003
(01/2005)","09/2010
(05/2026)","6285.33
(26075.5)",25244.57,97
171,"Talcher Thermal Power Station Stage III [2 x 660 MW] Expansion
(National Thermal Power Corporation [NTPC])
(602961)",Odisha,"08/2022
(09/2022)","05/2027
(03/2028)","11843.75
(12543)",4839.68,40
172,"BIKANER SOLAR POWER PROJECT
(Satluj Jal Vidyut Nigam [SJVN] Thermal Limited)
(709748)",Rajasthan,"10/2021
(05/2022)","04/2024
(12/2025)","5491.89
(5491.89)",5084.68,88
173,"TEESTA-VI HE PROJECT, SIKKIM [500 MW], executed by LANCO TEESTA HYDRO
POWER LIMITED [A wholly owned Subsidiary of NHPC LTD. acquired through NCLT]
(National Hydroelectric Power Corporation Limited [NHPC])
(602181)",Sikkim,"03/2019
(03/2020)","03/2024
(12/2027)","5748.04
(5748.04)",3817.49,70
