Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
468,"AIIMS Rajkot
(PMSSY AND Institute of NATIONAL Importance)
(701170)
(-)",Gujarat,"01/2019
(01/2019)","03/2026
(03/2026)","1195
(1195)",775.6,93
469,"Establishment of new GMC Panchmahal
(Medical Education, Ministry of Health and Family Welfare)
(707049)
(-)",Gujarat,"09/2022
(09/2022)","03/2026
(-)","325
(663.5)",435.34,36
470,"Establishment of new GMC Porbandar
(Medical Education, Ministry of Health and Family Welfare)
(707050)
(-)",Gujarat,"04/2022
(10/2022)","09/2024
(-)","325
(618.98)",924.64,66
471,"AIIMS Majra Rewari Haryana
(PMSSY AND Institute of NATIONAL Importance)
(701173)
(-)",Haryana,"02/2019
(02/2019)","12/2026
(12/2026)","1299
(1646.43)",574.64,55
472,"AIIMS Kashmir at Awantipora Jammu & Kashmir
(PMSSY AND Institute of NATIONAL Importance)
(701167)
(N28000150)","Jammu and
Kashmir","01/2019
(03/2019)","12/2025
(12/2026)","1828
(2160.84)",1517.17,74
473,"Establishment of new GMC Koderma
(Medical Education, Ministry of Health and Family Welfare)
(707021)
(-)",Jharkhand,"09/2023
(02/2024)","08/2026
(-)","250
(504.8)",265,30
474,"Establishment of new GMC Chaibasa [Singhbhum]
(Medical Education, Ministry of Health and Family Welfare)
(707022)
(-)",Jharkhand,"06/2018
(03/2023)","09/2025
(-)","250
(454.1)",60,46
475,"Establishment of new GMC Rajgarh
(Medical Education, Ministry of Health and Family Welfare)
(707058)
(-)",Madhya Pradesh,"12/2021
(11/2022)","04/2024
(-)","325
(325)",164,67
476,"Establishment of new GMC Mandla
(Medical Education, Ministry of Health and Family Welfare)
(707059)
(-)",Madhya Pradesh,"08/2023
(10/2023)","04/2026
(-)","325
(325)",69.41,40
477,"Establishment of new GMC Kapurthala
(Medical Education, Ministry of Health and Family Welfare)
(707069)
(-)",Punjab,"11/2019
(07/2027)","12/2028
(-)","325
(550)",0,0
478,"Establishment of new GMC Hoshiarpur
(Medical Education, Ministry of Health and Family Welfare)
(707070)
(-)",Punjab,"01/2020
(03/2026)","12/2028
(-)","325
(374.75)",0,0
479,"Establishment of new GMC Gangtok
(Medical Education, Ministry of Health and Family Welfare)
(707039)
(-)",Sikkim,"10/2018
(12/2018)","12/2026
(-)","250
(635.21)",655.21,92
480,"ALL India Institute of Medical Sciences-AIIMS Madurai
(PMSSY AND Institute of NATIONAL Importance)
(701168)
(-)",Tamil Nadu,"12/2018
(12/2018)","08/2022
(10/2026)","1264
(2021.51)",441.29,48
481,"AIIMS Bibinagar
(PMSSY AND Institute of NATIONAL Importance)
(701171)
(N21000031)",Telangana,"12/2018
(07/2022)","06/2026
(06/2026)","1028
(1365.95)",950.92,86
482,"Establishment of new GMC Rudrapur
(Medical Education, Ministry of Health and Family Welfare)
(707086)
(-)",Uttarakhand,"10/2022
(02/2024)","12/2026
(-)","325
(325)",262,35
483,"Establishment of new GMC Pithoragarh
(Medical Education, Ministry of Health and Family Welfare)
(707087)
(-)",Uttarakhand,"08/2021
(04/2023)","12/2026
(-)","325
(768.89)",315.08,72
,Total (23),,,,17252.19,8026.18,
,Ministry of Labour and Employment,,,,,,
,Healthcare,,,,,,
484,"Construction of 350 beds + 50 Super Specialty beds ESIC Hospital Sheelanagar,
Visakhapatnam, Andhra Pradesh
(Employee's State Insurance Company [ESIC])
(612167)
(-)",Andhra Pradesh,"02/2021
(04/2023)","10/2025
(03/2026)","384.27
(384.27)",253.37,80
485,"Construction of 200 bedded ESIC Hospital with 62 Nos Staff quarters , Beltola
(Employee's State Insurance Company [ESIC])
(612201)
(-)",Assam,"12/2017
(10/2021)","04/2025
(04/2026)","143.23
(154.75)",116.08,98
486,"C/o Construction of 200 bedded [Up-gradable to 300 bedded] ESI Hospital at Surat
Gujarat.
(Employee's State Insurance Company [ESIC])
(612185)
(-)",Gujarat,"06/2019
(03/2021)","06/2025
(01/2026)","209.36
(209.36)",202.62,100
487,"350 Bedded [Upgradable to 500 beds] ESI Hospital at Sanand
(Employee's State Insurance Company [ESIC])
(612186)
(-)",Gujarat,"06/2022
(04/2023)","03/2026
(05/2027)","558.12
(558.12)",63.62,11
488,"Demolition, Construction and upgradation of ESI Hospital, Kalol, Gujarat from 50 beds
to 150 beds.
(Employee's State Insurance Company [ESIC])
(612211)
(-)",Gujarat,"08/2022
(10/2023)","10/2025
(06/2026)","205.87
(205.87)",24.06,22
489,"Construction of 200 bed ESI Hospital at Bommasandra, Karnataka
(Employee's State Insurance Company [ESIC])
(612745)
(-)",Karnataka,"02/2015
(10/2024)","01/2027
(05/2027)","278
(278)",68.23,23
