Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code) (PMGID)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
594,"Doubling between Parbhani-Parli Vaijnath stations 64.71 km PB34/CR/2023-24
(CAOCON/SCR SCR mor)
(617215)
(-) (-)",Maharashtra,"12/2023
(05/2025)","03/2028
(-)","769.93
(769.93)",174.3,1
595,"Central Railway - Double chord line between Nilaje and Kopar 4.495 km
PB34/CR/2023-24
(CAOC/CR CR mor)
(617364)
(-) (-)",Maharashtra,"07/2023
(12/2024)","07/2028
(-)","338.33
(205.00)",57.54,15
596,"Ahmednagar - Beed - Parli - Vaijnath New Broad Gauge Line Railway Project [261.3
km]
(CAOC/CR CR mor)
(705356)
(-) (-)",Maharashtra,"02/1997
(04/2013)","12/2026
(03/2026)","2538.67
(5942.48)",5054.69,93
597,"Baramati - Lonand 54 km
(CAOC/CR CR mor)
(705357)
(-) (-)",Maharashtra,"02/1999
(12/2003)","03/2027
(03/2027)","138.48
(1790.50)",1132.25,60
598,"Wadsa-Gadchiroli 49.5 km
(CAOC/SECR SECR mor)
(705479)
(-) (-)",Maharashtra,"05/2017
(11/2023)","03/2027
(03/2027)","1886.00
(1880.61)",1015.46,69
599,"Wardha - Yavatmal Nanded Railway Line Project
(Central Railways)
(705497)
(-) (-)",Maharashtra,"02/2008
(04/2013)","12/2026
(-)","3445.34
(4030.69)",4053.03,47
600,"Kalyan-Kasara - 3rd line 67.62 km
(CAOC/CR CR mor)
(705498)
(-) (-)",Maharashtra,"09/2015
(09/2015)","12/2026
(12/2026)","792.89
(1395.50)",1159.82,73
601,"Wardha Sevagram-Nagpur - 3rd line 76.3 km
(CAOC/CR CR mor)
(705500)
(-) (-)",Maharashtra,"09/2015
(10/2015)","12/2025
(10/2026)","540.02
(899.52)",836.27,88
602,"Wardha-Balharshah - 3rd line 132 km
(CAOC/CR CR mor)
(705502)
(-) (-)",Maharashtra,"03/2016
(05/2016)","12/2025
(02/2026)","1384.72
(2603.11)",1894.7,86
603,"Daund - Manmad 247.50 km
(CAOC/CR CR mor)
(705504)
(-) (-)",Maharashtra,"10/2017
(11/2018)","12/2025
(03/2026)","2081.27
(3554.74)",3191.56,95
604,"Wardha-Nagpur - 4th line 78.70 km
(CAOC/CR CR mor)
(705505)
(-) (-)",Maharashtra,"04/2017
(06/2017)","12/2025
(10/2026)","637.95
(1194.59)",1090.49,88
605,"3rd Line Manmad - Jalgaon [160 Kilometres]
(Central Railway [CR] - II)
(705506)
(-) (-)",Maharashtra,"05/2017
(04/2018)","12/2024
(11/2025)","1035.16
(1870.00)",1843.54,100
606,"Solapur-Osmanabad - New line via Tuljapur 84.44 km umbrella work PB23/2018-
19/NR
(CAOC/CR CR mor)
(705735)
(-) (-)",Maharashtra,"01/2019
(09/2024)","03/2027
(03/2028)","904.92
(1647.87)",1202.73,22
607,"Jiribam-Imphal 110 km
(CAO/C-III/NFR NFR mor)
(705391)
(-) (-)",Manipur,"10/2003
(04/2009)","12/2026
(06/2029)","14323.00
(21886.00)",16931.5,78
608,"Marikuppam-Kuppam 23.7 km
(CAOC/SWR SWR mor)
(705491)
(-) (-)","Multi-States
(Andhra Pradesh,
Karnataka)","10/2011
(06/2015)","06/2026
(06/2026)","297.00
(502.13)",145.72,20
609,"Rayadurg-Tumkur via Kalyandurg 213 km
(CAOC/SWR SWR mor)
(705494)
(-) (-)","Multi-States
(Andhra Pradesh,
Karnataka)","02/2007
(02/2011)","09/2015
(02/2028)","2496.00
(4612.00)",1906.63,65
610,"Kottavalasa-Koraput 189.278 km
(CAO/C/ECOR ECoR mor)
(705512)
(-) (-)","Multi-States
(Andhra Pradesh,
Odisha)","12/2015
(01/2016)","03/2022
(03/2028)","2500.00
(3580.41)",2300.04,74
611,"Tindivanam-Nagari 179.2 km
(CAOC/SR SR mor)
(400275)
(-) (-)","Multi-States
(Andhra Pradesh,
Tamil Nadu)","07/2008
(05/2009)","09/2016
(03/2028)","3631.00
(3631.34)",1175.82,16
612,"Tirupati-Pakala-Katpadi Doubling 104.39 Km Item83/NR/2024-25
(CAO/C/SCoR SCoR mor)
(617210)
(-) (-)","Multi-States
(Andhra Pradesh,
Tamil Nadu)","04/2025
(04/2025)","04/2029
(-)","1215.56
(1215.56)",0,0
613,"Renigunta 9.60 km, Wadi 7.60 km & Gooty 3.8 km - Bypass
(CAO/C/SCoR SCoR mor)
(705610)
(-) (-)","Multi-States
(Andhra Pradesh,
Tamil Nadu)","04/2016
(08/2016)","12/2025
(03/2026)","302.00
(850.74)",421.36,50
614,"Doubling between Motumari Vishnupuram 88.81 km and Rail over Rail RoR at
Motumari 10.877 Km
(CAO/C/SCoR SCoR mor)
(616857)
(-) (-)","Multi-States
(Andhra Pradesh,
Telangana)","02/2024
(07/2025)","03/2029
(-)","1595.55
(1595.55)",327.62,22
615,"South Central Railway- Rail connectivity to Amaravati, Capital of Andhra Pradesh
Errupalem- Amaravati- Namburu New line 57 km PB7/WR/2023-24
(CAO/C/SCoR SCoR mor)
(617214)
(-) (-)","Multi-States
(Andhra Pradesh,
Telangana)","11/2024
(06/2026)","03/2027
(-)","2047.40
(2047.40)",155,0
