Sl.No,Project Name (Agency) (Project Code),State,"Date of
Approval
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
,Total (118),,,,169952.27,52990.5,
,Electricity Generation,,,,,,
146,"50 MW Wind Power Project
(NLC India Limited [NLCIL])
(617299)",Gujarat,02/2024,"06/2025
01/2026","383.84
(383.84)",303.5,41
147,"NLC Talabira Thermal Power Project
(NLC India Limited [NLCIL])
(400231)",Odisha,01/2024,"03/2030
(-)","27212.96
(27213)",1938.68,1
148,"300 MW SPP part of 510 MW CPSU scheme
(NLC India Limited [NLCIL])
(612819)",Rajasthan,03/2023,"09/2024
09/2025","1813
(1813)",769.57,68
149,"50 MW Solar PP Minedout Area
(NLC India Limited [NLCIL])
(615327)",Tamil Nadu,02/2024,"03/2025
09/2025","218.03
(218.03)",160.93,46
150,"Ghatampur Thermal Power Plant 3 X 660 MW
(NLC India Limited [NLCIL])
(400259)",Uttar Pradesh,08/2016,"11/2020
10/2025","17237.8
(21780.9)",20135.48,92
,Total (5),,,,46865.63,23308.16,
,Railways,,,,,,
151,"Dharamjaigarh-Korba
(WR)
(400203)",Chhattisgarh,03/2017,"12/2026
08/2026","1686.22
(1686.22)",342.96,40
152,"Shivpur-Kathautia New Rail [BG] Line [49 km] [Package II of Tori-Shivpur-Kathautia
line]
(Ministry of Coal)
(400416)",Jharkhand,05/2022,"06/2025
(-)","1799.64
(1799.64)",1293.71,60
,Total (2),,,,3485.86,1636.67,
,Ministry of Power,,,,,,
,Coal,,,,,,
153,"Tubed Coal Mine
(Damodar Valley Corporation)
(400192)",Jharkhand,10/2016,"05/2026
05/2026","1581
(1581)",599.18,34
154,"Badam Coal Mining project of NTPC
(National Thermal Power Corporation [NTPC])
(603293)",Jharkhand,09/2019,"12/2056
04/2027","502
(784)",302.2,59
,Total (2),,,,2083,901.38,
,Electricity Generation,,,,,,
155,"Dibang Multipurpose Project
(National Highways & Infrastructure Development Corporation Ltd. [NHIDCL])
(602182)",Arunachal Pradesh,02/2023,"02/2032
02/2032","31876.39
(31876.4)",3436.38,16
156,"240MW Heo HE Project
(North Eastern Electric Power Corporation Limited)
(611698)",Arunachal Pradesh,05/2025,"07/2029
(-)","1938.85
(1938.85)",49.31,3
157,"186 MW Tato-I H E Project
(North Eastern Electric Power Corporation Limited)
(611699)",Arunachal Pradesh,05/2025,"07/2029
(-)","1750.07
(1750.07)",102.79,2
158,"Buxar Thermal Power Project [1320 MW]
(Satluj Jal Vidyut Nigam [SJVN] Thermal Limited)
(602579)",Bihar,06/2019,"01/2024
11/2025","10439.09
(13756.6)",11970.96,92
159,"Lara Super Thermal Power Project Stage-II [2 x 800 MW]
(National Thermal Power Corporation [NTPC])
(611930)",Chhattisgarh,08/2023,"06/2028
(-)","15530
(15530)",2288,14
160,"Sipat Super Thermal Power Project, Stage-III [1x800 MW]
(National Thermal Power Corporation [NTPC])
(617188)",Chhattisgarh,09/2024,"09/2029
(-)","9791
(9791)",0,0
161,"Bagodara Solar Power Project
(Satluj Jal Vidyut Nigam [SJVN] Thermal Limited)
(709747)",Gujarat,05/2021,"12/2025
12/2025","339.35
(339.35)",317.59,51
162,"Dhaulasidh Hydro Electric Project [66 MW]
(Satluj Jal Vidyut Nigam [SJVN] Thermal Limited)
(602582)",Himachal Pradesh,05/2021,"11/2025
03/2027","687.97
(1511.87)",908.65,67
163,"Luhri Stage-I Hydro Electric Project [210 MW]
(Satluj Jal Vidyut Nigam [SJVN] Thermal Limited)
(602593)",Himachal Pradesh,11/2020,"01/2026
08/2029","1810.56
(3584.53)",1742.92,51
164,"382 MW Sunni Dam HEP
(Satluj Jal Vidyut Nigam [SJVN] Thermal Limited)
(602633)",Himachal Pradesh,04/2018,"03/2027
(-)","2615
(2615)",495.57,0.5
165,"Sunni Dam Hydro Electric Project [382 MW]
(Satluj Jal Vidyut Nigam [SJVN] Thermal Limited)
(611586)",Himachal Pradesh,01/2023,"04/2028
12/2028","2614.51
(4540.71)",956.76,29
166,"Pakal Dul [Drangdhuran] Hydroelectric Project, 1000 MW
(National Highways & Infrastructure Development Corporation Ltd. [NHIDCL])
(602525)","Jammu and
Kashmir",02/2018,"04/2020
09/2026","8112.12
(8112.12)",6916.1,71
167,"Kiru HE Project
(National Highways & Infrastructure Development Corporation Ltd. [NHIDCL])
(602532)","Jammu and
Kashmir",03/2019,"09/2023
03/2026","4287.59
(4287.59)",3055.87,66
168,"Ratle HE Project - 850 MW, Ratle Hydroelectric Power Corporation Limited.
(National Highways & Infrastructure Development Corporation Ltd. [NHIDCL])
(602535)","Jammu and
Kashmir",02/2021,"02/2026
08/2029","5281.94
(5281.94)",1009.79,24
169,"Kwar HE Project
(National Highways & Infrastructure Development Corporation Ltd. [NHIDCL])
(605155)","Jammu and
Kashmir",05/2022,"11/2026
(-)","4526.12
(4526.12)",1078.61,23
170,"Patratu Thermal Power Station Expansion Project Phase-I [3x800 MW]
(National Thermal Power Corporation [NTPC])
(400261)",Jharkhand,11/2017,"03/2023
11/2026","17112
(20302)",17365,81
171,"Koderma Thermal Power Station Phase II [2X800 MW] At Koderma, Jharkhand
(Damodar Valley Corporation)
(611509)",Jharkhand,11/2024,"03/2029
(-)","14358
(14358)",1116.7,1
