Sl.No,Project Name (Agency) (Project Code),State,"Date of
Approval
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
53,"RPR MAGADH EXP OCP
(Ministry of Coal)
(400150)",Jharkhand,08/2020,"03/2028
(-)","7254.37
(7254.37)",1534.64,38
54,"NORTH URIMARI EXPANSION OCP
(Ministry of Coal)
(400151)",Jharkhand,07/2021,"03/2029
(-)","778.8
(778.8)",695.11,67
55,"EPR ROHINI - KARKETTA OCP
(Ministry of Coal)
(400153)",Jharkhand,01/2021,"03/2028
(-)","1020.42
(1020.42)",83.95,20
56,"EPR PUNDI OCP
(Ministry of Coal)
(400154)",Jharkhand,11/2020,"03/2027
(-)","713.35
(713.35)",236.57,10
57,"EPR ASHOK OC
(Ministry of Coal)
(400155)",Jharkhand,05/2021,"03/2028
(-)","2898.28
(2898.28)",176.6,21
58,"EPR AMRAPALI OCP
(Ministry of Coal)
(400156)",Jharkhand,02/2020,"03/2028
(-)","5136.15
(5136.15)",1125.18,43
59,"RAJRAPPA RCE OCP
(Ministry of Coal)
(400160)",Jharkhand,12/2009,"03/2016
03/2027","510.85
(510.85)",488.57,76
60,"CHITRA EAST OC
(Eastern Coal Fields Limited [ECL])
(400172)",Jharkhand,08/2018,"03/2026
(-)","513.99
(513.99)",228.71,51
61,"JHARKHAND-LAIYO OCP
(Ministry of Coal)
(400352)",Jharkhand,08/2020,"03/2031
(-)","764.57
(764.57)",145.81,25
62,"MOONIDIH XV SEAM UG
(BCCL - CIL)
(400425)",Jharkhand,08/2011,"03/2019
05/2026","1230.27
(1230.27)",624.17,81
63,"2.5 MTPA PATHERDIH NLW WASHERY
(Ministry of Coal)
(611017)",Jharkhand,04/2016,"04/2018
03/2026","334.27
(334.27)",138.69,48
64,"AMALAGAMATED NTST KUJAMA OCP 8.5MTY
(Ministry of Coal)
(611864)",Jharkhand,01/2023,"03/2030
(-)","4011.85
(4011.85)",398.5,28
65,"MURAIDIH UG PROJECT
(Ministry of Coal)
(613808)",Jharkhand,02/2011,"04/2014
12/2026","339.87
(339.87)",190.65,70
66,"TAPIN SOUTH EXPN
(Ministry of Coal)
(615349)",Jharkhand,11/2020,"03/2028
(-)","230.41
(230.41)",21,20
67,"SIRKA OC
(Ministry of Coal)
(615822)",Jharkhand,05/2020,"03/2028
(-)","222.82
(222.82)",139.31,60
68,"TETARIAKHAR OC
(Ministry of Coal)
(615843)",Jharkhand,11/2019,"03/2025
03/2027","243.52
(243.52)",44.64,28
69,"CHUPERBHITA SIMLONG OCP MDO 6 MTY
(Eastern Coal Fields Limited [ECL])
(616225)",Jharkhand,12/2023,"03/2037
(-)","979.08
(979.08)",0,0
70,"JARANGDIH EXPN. OCP 1.5 MTY
(CCL - CIL)
(616236)",Jharkhand,02/2020,"03/2029
(-)","414.37
(414.37)",85.6,26
71,"BLOCK E OCP
(Ministry of Coal)
(616253)",Jharkhand,03/2024,"03/2029
(-)","5850.83
(5850.83)",0,2
72,"AMADAND OCP[4.0MTY]
(Ministry of Coal)
(400148)",Madhya Pradesh,03/2016,"03/2021
03/2027","869.44
(869.44)",274.45,75
73,"RAMPUR BATURA OCP [4.0MTY]
(South Eastern Coalfields Limited [SECL])
(400152)",Madhya Pradesh,07/2019,"03/2026
(-)","1248.93
(1248.93)",495.4,44
74,"BLOCK B EXPANSION [3.5 TO 8.0 MTPA] OPENCAST COAL MINING PROJECT
(Northern Coalfields Limited [NCL])
(400162)",Madhya Pradesh,07/2019,"03/2023
03/2027","998.71
(998.71)",458.01,46
75,"NIGAHI EXPANSION [15 TO 25 MTPA] OPENCAST MINING PROJECT
(Northern Coalfields Limited [NCL])
(400321)",Madhya Pradesh,11/2020,"03/2025
03/2028","1729.68
(1729.68)",772.91,44
76,"KANCHAN OC EXP
(South Eastern Coalfields Limited [SECL])
(613802)",Madhya Pradesh,12/2014,"03/2026
(-)","371.04
(371.04)",144.61,47
77,"JHIRIA WEST OCP [1.5 MTY]
(South Eastern Coalfields Limited [SECL])
(613803)",Madhya Pradesh,01/2024,"03/2026
(-)","366.94
(366.94)",25.07,41
78,"RPR TAWA-III UG 0.84 MTY
(WCL - CIL)
(613804)",Madhya Pradesh,12/2021,"03/2027
(-)","314.09
(314.09)",5.7,17
79,"AMALGAMATED DHANKASA & JAMUNIA UG
(Western Coalfields Limited [WCL])
(615185)",Madhya Pradesh,09/2022,"03/2027
(-)","399.2
(399.2)",72.21,67
80,"RPR OF VISHNUPURI UG TO OC
(Western Coalfields Limited [WCL])
(615187)",Madhya Pradesh,11/2022,"03/2029
(-)","220.62
(220.62)",0,11
81,"URDHAN EXPANSION OC COST PLUS
(Western Coalfields Limited [WCL])
(615194)",Madhya Pradesh,01/2023,"03/2031
(-)","206.88
(206.88)",23.22,1
82,"SHARDA UG MINE
(Western Coalfields Limited [WCL])
(615195)",Madhya Pradesh,09/2023,"03/2028
(-)","166.25
(166.25)",2.78,9
83,"GANDHIGRAM UG MINE
(Western Coalfields Limited [WCL])
(615206)",Madhya Pradesh,08/2019,"03/2026
(-)","414.15
(414.15)",13.27,57
