Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","(Orignal/Target DoC)
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore"
40,"Vadodara Mumbai Expressway Ena -Kim Phase IB - Pkg VI [Km 217.500 to Km
254.430]
(NHAI)
618464",Gujarat,"05/2020
(12/2021)","(12/2023)
(06/2025)","2271.86
(4297.28)",2991.42
41,"Vadodara Mumbai Expressway Gandeva to Ena Phase IB - Pkg VII [Km 190.00
to Km 217.500]
(NHAI)
618465",Gujarat,"07/2020
(11/2021)","(11/2023)
(01/2026)","1710.3
(3392.21)",2451.01
42,"Ahmedabad - Dholera Pkg I from km. 0.00 to km. 22.00 [Sardar Patel Ring Road
- Sindhrej Village]
(NHAI)
618501",Gujarat,"05/2020
(01/2022)","(01/2024)
(01/2026)","1298
(1421.05)",1385.83
43,"Ahmedabad - Dholera Pkg II from km. 22.00 to km. 48.52 [Sindhrej Village -
Vejallka Village]
(NHAI)
618502",Gujarat,"05/2020
(01/2022)","(01/2024)
(04/2026)","1415.34
(1729.69)",1785.68
44,"Sanchore - Santalpur from km 67.000 - km 99.000 of NH-754K AJ-RGBS-
Package-3
(NHAI)
618614",Gujarat,"02/2020
(08/2021)","(08/2023)
(01/2024)","752.3
(765.25)",601.6
45,"Pipli Bhavnagar-Package 1 from km 136.025 to km 169.328
(NHAI)
618699",Gujarat,"03/2018
(02/2019)","(09/2021)
(03/2024)","819.14
(1297.38)",975.85
46,"4L Kodinar - Veraval Package VI from km. 222.400 to km. 230.00 Kodinar
Bypass of NH-8E NH 51 new
(NHAI)
618834",Gujarat,"03/2022
(04/2022)","(09/2023)
(05/2025)","162.73
(192.01)",189.95
47,"4L of Bal Works of Talaja - Mahuva from 54.990 km. to 100.450 km. of Old NH-
8E Package-II
(NHAI)
618835",Gujarat,"08/2020
(03/2021)","(09/2022)
(05/2024)","698.4
(735.51)",726.01
48,"6L of Chiloda-Naroda section from Km. 540.595 to Km. 555.595 of NH-
8Package-VII
(NHAI)
619067",Gujarat,"11/2016
(05/2017)","(05/2019)
(02/2026)","356.6
(463.03)",443.07
49,"4L of Bal Works of Mahuva to Kagvadar from 100.450 Km. to 140.470 Km. of
NH-8E Pkg- III
(NHAI)
619147",Gujarat,"08/2020
(03/2021)","(09/2022)
(07/2024)","603.08
(628.49)",624.43
50,"4L of Bhavnagar - Talaja Package-I from Km. 6.945 to Km. 54.990 of Old NH-8E
(NHAI)
619148",Gujarat,"03/2016
(02/2017)","(08/2019)
(06/2024)","1185.66
(1343.16)",1316.53
51,"Delhi-Amritsar-Katra Expressway Phase-I Pkg-III from Junction with Jind-Panipat
road NH-352A near Gangana village to Junction with Jind-Karnal road NH-709A
near Alewa village Km 60800 to Km 91400
(NHAI)
618484",Haryana,"12/2020
(12/2021)","(12/2023)
(11/2025)","1606.27
(1813.91)",1322.85
52,"Delhi-Amritsar-Katra Expressway Phase-I Pkg-IV from Junction with Jind-Karnal
road NH-709A near Alewa village to Junction with Ambala-Kaithal-Hissar road
NH-152 near Kharak Pandwa village Km 91400 to Km 120250
(NHAI)
618485",Haryana,"01/2021
(12/2021)","(12/2023)
(11/2025)","1306.95
(1578.66)",1098.84
53,"Rehabilitation and Upgradation to 2-lane/Intermediate lane configuration of
Ashyari-Shri Kyari Section km 50.000 to km 75.000 of NH-707 in the state of
Himachal Pradesh under Green National Highways Corridor Project GNHCP
with the loan assistance of World Bank on EPC mode.
(MoRTH)
618050",Himachal Pradesh,"08/2020
(09/2021)","(09/2023)
(12/2025)","345.89
(359.56)",232.82
54,"Construction & Upgradation to 2 lane with paved shoulder from Design Km.
31.449 Khellani Ex. Km 44.946 to Km 51.700 Prem Nagar Ex. Km 68617 of
20.251 Km length on Khellani - Kishtwar - Chattroo section of NH-244 in the UT
of J&K on EPC Mode under NHO-Gen PKG- 1
(NHIDCL)
618396",Jammu and Kashmir,"02/2021
(03/2021)","(09/2022)
(11/2024)","486.45
(-)",300.52
55,"4L from km 196.87 Sankha to km 219.6 Khajuri on NH-75 [Rehla / Garhwa
Bypass]
(NHAI)
618829",Jharkhand,"09/2020
(10/2021)","(10/2023)
(03/2025)","1129.48
(1129.48)",790.59
56,"4L of Mehgama - Hansdiha from km. 41.900 to km. 93.000 of NH -133A Pkg-II
(NHAI)
618946",Jharkhand,"03/2022
(05/2023)","(05/2025)
(05/2026)","1479.72
(1568.18)",1034.52
57,"Balance work of Rehabilitation and upgrading to 2lane/2lane with paved shoulder
configuration and strengthening from from Km 343.80 to 400.33 of Gowribidanur-
Chik Ballapur section in the state of Karnataka Under Annual Plan 2021-22 under
EPC Mode.-952
(MoRTH)
617954",Karnataka,"03/2022
(02/2023)","(02/2025)
(10/2025)","398.48
(-)",242.02
58,"Challakere to Hariyur section from km 358.500 to km 414.205 of NH-150 A
(NHAI)
618698",Karnataka,"03/2018
(01/2021)","(01/2023)
(12/2025)","1167.52
(1873.58)",1243.48
59,"4L of Hubli - Hospet Section of NH-63 from Km 128.850 to Km 272.571
(NHAI)
619121",Karnataka,"07/2016
(03/2017)","(03/2020)
(03/2026)","2531.99
(3619.32)",3522.85
60,"Hospet - Chitradurga from km. 299.00 to km. 418.750
(NHAI)
619144",Karnataka,"03/2015
(02/2016)","(08/2018)
(06/2026)","1519.72
(387.48)",331.26
61,"Construction of Mihona bypass, Lahar bypass, Daboh bypass & Bhander Bypass
total length 20.60 km to 2-lane with paved shoulder from on Mihona-Bhander-
MP/UP border section of NH 552E in the State of Madhya Pradesh on EPC mode
(MoRTH)
618045",Madhya Pradesh,"03/2022
(06/2023)","(12/2024)
(07/2025)","179.18
(-)",74.89
62,"Indore - Gujarat / MP Border from km. Km 9.500 to Km 171.000 of NH-59 in MP
(NHAI)
618625",Madhya Pradesh,"12/2009
(08/2010)","(02/2013)
(02/2026)","1175
(217.22)",191.43
