Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code) (PMGID)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
1958,"Polavaram Irrigation Project
(Water Resources-AP)
(701415)
(N30000002) (4076)",Andhra Pradesh,"01/2009
(11/2009)","04/2022
(03/2026)","10151.04
(55548.9)",27061.89,86.14
1959,"Borolia Irrigation Project
(Department of Water Resources, River Development & GR)
(701370)
(-) (9763)",Assam,"04/1996
(12/1996)","12/2022
(03/2026)","256.16
(256.16)",44.7,55.44
1960,"Kelo Irrigation Project
(Water Resources-CT)
(400111)
(-) (3315)",Chhattisgarh,"04/2008
(04/2008)","12/2019
(06/2026)","459.97
(727.04)",618.85,72
1961,"Kudali Irrigation Project
(Department of Water Resources, River Development & GR)
(701399)
(-) (-)",Chhattisgarh,"04/2009
(12/2009)","12/2025
(03/2026)","382.29
(382.29)",249.06,86.31
1962,"Sardar Sarovar Project
(Narmada and Water Resources, Water Supply and Kalpsar Department-GJ)
(701372)
(-) (3326)",Gujarat,"04/1996
(04/1996)","12/2019
(03/2026)","20718.17
(33412.5)",31943.15,93.7
1963,"Subernarekha Multipurpose Project, Jharkhand
(Department of Water Resources-JH)
(701376)
(-) (3349)",Jharkhand,"04/2011
(01/2012)","12/2019
(03/2026)","3807.77
(9579.58)",6040.27,70
1964,"Upper Tunga Irrigation Project
(Water Resources-KA)
(701377)
(-) (3341)",Karnataka,"04/2014
(04/2014)","12/2019
(03/2026)","770.16
(1606.07)",1515.6,99.32
1965,"Bargi Diversion Project Phase - IV [km. 154 to km 197]
(Water Resources-MP)
(400115)
(-) (3308)",Madhya Pradesh,"04/2008
(01/2009)","12/2019
(03/2026)","751.03
(893.35)",814.02,75
1966,"Bargi Diversion Project Phase - III [km. 104 to km 154]
(Water Resources-MP)
(400116)
(-) (3307)",Madhya Pradesh,"04/2007
(04/2007)","12/2019
(12/2026)","1229.15
(1399.7)",2203.81,81.52
1967,"Bodwad Parisar Sinchan Yojna
(Department of Water Resources-MH)
(617422)
(-) (9764)",Maharashtra,"05/2002
(01/2017)","07/2027
(-)","1923.81
(1923.81)",1949.56,49.5
1968,"Waghur Project
(Department of water resources-MH - II)
(701383)
(-) (3336)",Maharashtra,"04/1996
(04/1996)","12/2019
(03/2026)","1058.99
(1758.51)",1634.36,89.57
1969,"Gosikhurd Project
(Department of water resources-MH - II)
(701386)
(-) (3311)",Maharashtra,"04/2008
(04/2008)","12/2019
(06/2028)","7196.47
(12770.1)",14374,72.65
1970,"Aruna Medium Irrigation Project
(Department of water resources-MH - II)
(701391)
(-) (3306)",Maharashtra,"04/2009
(01/2010)","12/2019
(12/2025)","210.45
(1472.14)",1734.71,98.1
1971,"Lower Pedhi Project
(Department of water resources-MH - II)
(701396)
(-) (3317)",Maharashtra,"04/2008
(04/2008)","12/2019
(06/2026)","255.97
(1480.7)",1516.11,65
1972,"Nardave Medium Irrigation Project
(Department of water resources-MH - II)
(701398)
(-) (3320)",Maharashtra,"04/2009
(04/2009)","12/2019
(06/2026)","211.46
(781.85)",879.16,74
1973,"Thoubal Multipurpose Project
(Water Resources Department-MN)
(701400)
(-) (3352)",Manipur,"04/1997
(04/1997)","12/2019
(12/2026)","1449.44
(1822.24)",1848.17,99
1974,"North Koel Reservoir Project
(Department of Water Resources, River Development & GR)
(701412)
(-) (3397)","Multi-States
(Bihar, Jharkhand)","08/2017
(01/2021)","03/2021
(03/2026)","1622.27
(2430.76)",172.97,44
1975,"Ken-Betwa Linking Development Project
(Department of Water Resources, River Development, )
(701530)
(-) (10035)","Multi-States
(Madhya Pradesh,
Uttar Pradesh)","NA
(03/2022)","03/2029
(-)","21030
(21030)",8530.86,0
1976,"Integrated Anandpur Barrage Project
(Water Resources-OR)
(603945)
(-) (3346)",Odisha,"04/1997
(01/1998)","12/2019
(06/2026)","567.03
(2990.05)",2776.23,62.85
1977,"Subernarekha Project, Odisha
(Department of Water Resources, River Development & GR)
(701402)
(-) (3345)",Odisha,"12/1995
(01/1998)","12/2019
(03/2026)","3055.88
(7023.19)",8289.65,95.5
1978,"Kanupur Irrigation Project
(Irrigation and CAD-TG)
(701404)
(-) (3347)",Odisha,"04/2003
(01/2004)","12/2019
(06/2026)","989.43
(2301.28)",2804.16,79.5
1979,"Relining of Rajasthan feeder and Sirhind Feeder canal
(Department of Water Resources-PB)
(701410)
(-) (3324)",Punjab,"02/2016
(04/2018)","06/2021
(06/2026)","1441.26
(2462.16)",2337.42,95
1980,"Shahpur Kandi Dam Project
(Department of Water Resources-PB)
(701411)
(-) (3328)",Punjab,"02/2010
(04/2018)","06/2022
(06/2026)","2285.81
(2715.7)",2201.94,88
