Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
566,"SHIMOGA - SHIKARIPURA - RANEBENNUR [96 Km]
(South Western Railway [SWR] - II)
(705761)",Karnataka,"NA
(02/2023)","12/2027
(06/2028)","1454
(1454)",69.82,11
567,"Belgaum-Dharwad via Kittur [73.10Km]
(South Western Railway [SWR] - II)
(706835)",Karnataka,"09/2020
(03/2025)","12/2027
(03/2029)","1591
(1591)",0.75,0
568,"Kumbalam-Turavur doubling project [15.59 Km]
(Southern Railway [SR] - II)
(705638)",Kerala,"04/2023
(04/2023)","03/2027
(03/2027)","813
(813)",292.15,15
569,"Ernakulam-Kumbalam doubling project [7.71 Km]
(SR-ERS)
(705639)",Kerala,"04/2023
(04/2023)","03/2028
(03/2028)","601
(601)",283,17
570,"Lalitpur-Satna, Rewa-Singrauli & Mahoba-Khajuraho
(North Central Railway)
(705480)",Madhya Pradesh,"01/2007
(03/1998)","03/2027
(12/2027)","8914
(8914)",5013.49,72
571,"Katni - Bina Third Railway Line [279 km]
(West Central Railway WCR I)
(705651)",Madhya Pradesh,"06/2016
(01/2017)","03/2022
(12/2025)","2478.23
(4127.23)",3301.89,90
572,"Satna-Rewa Railway Line Doubling Project
(West Central Railway [WCR] - II)
(705659)",Madhya Pradesh,"11/2015
(08/2017)","03/2026
(03/2026)","500
(584)",561.38,80
573,"Doubling of Katni - Singrauli Railway Line [261 km]
(Indian Railway Construction International Limited [IRCON])
(705660)",Madhya Pradesh,"03/2016
(03/2017)","12/2025
(12/2025)","2445
(4377)",3201.67,100
574,"Katni Grade Separator/Bye Pass
(Indian Railway Construction International Limited [IRCON])
(705661)",Madhya Pradesh,"03/2016
(09/2017)","09/2024
(03/2026)","1248
(1248)",1587.21,94
575,"Indore - Budni New Railway Line [198 kms]
(RVNL - II)
(705763)",Madhya Pradesh,"08/2019
(10/2020)","09/2030
(09/2030)","7474
(7474)",1685.25,23
576,"Nimach-Ratlam Doubling [133 Km]
(Western Railway [WR] - II)
(705933)",Madhya Pradesh,"10/2021
(10/2021)","10/2027
(10/2027)","1095.88
(1095.88)",1067.49,89
577,"DHULE [BORVIHIR] - NARDANA NEW LINE [50.60 KMS]
(CR)
(400019)",Maharashtra,"01/2019
(04/2023)","12/2026
(09/2027)","492.76
(1170.83)",245.11,16
578,"Wardha-Nanded Via Yavatmal New BG Line
(Central Railway [CR] - II)
(400271)",Maharashtra,"12/2017
(04/2008)","03/2028
(03/2028)","3445
(3445)",3002.93,50
579,"AURANGABAD-ANKAI - DOUBLING PROJECT 98.25 Km
(South Central Railway [SCR] - II)
(611751)",Maharashtra,"05/2023
(05/2023)","03/2027
(-)","960.64
(960.64)",0,0.01
580,"Western Railway Vasai bypass double line between Naigaon Juchandra 6 km
(PCE/WR)
(611975)",Maharashtra,"NA
(07/2023)","03/2026
(-)","176
(176)",0,0
581,"Jogeshwari AT Development of JOS-AT as Trainset Maintenance Depot for energy
efficient Vande Bharat Sleeper Trains
(PCE/WR)
(611976)",Maharashtra,"NA
(06/2023)","10/2025
(-)","221
(221)",0,0
582,"Redevelopment of Chhatrapati Shivaji Maharaj Terminus [CSMT] and construction of
associated infrastructure
(Ministry of Railways)
(613015)",Maharashtra,"04/2023
(07/2023)","03/2027
(-)","1813
(1813)",569.08,13
583,"Gondia-Balharshah [Chanda Fort] Doubling [240 Km]
(South East Central Railway)
(617201)",Maharashtra,"04/2025
(04/2025)","04/2030
(-)","4373.04
(4373.04)",0,0
584,"Doubling between Parbhani Parli Vaijanath stations 64.71 Km
(South Central Railway [SCR] - II)
(617215)",Maharashtra,"12/2023
(12/2023)","03/2028
(-)","769.93
(769.93)",0,0
585,"Western Region Video Surveillance Project
(RCIL)
(705300)",Maharashtra,"NA
(04/2023)","12/2023
(-)","227.59
(227.59)",0,0
586,"Ahmednagar - Beed - Parli - Vaijnath New Broad Gauge Line Railway Project [261.3
km]
(Central Railways)
(705356)",Maharashtra,"01/1999
(10/2002)","03/2026
(03/2026)","2538.67
(4957.27)",4975.74,98
587,"Baramati Lonand New Line Project
(Central Railway [CR] - II)
(705357)",Maharashtra,"03/2016
(03/1999)","03/2027
(03/2027)","138.48
(1843.9)",735.33,51
588,"Wadsa-Gadchiroli
(South East Central Railway)
(705479)",Maharashtra,"05/2017
(03/2012)","03/2027
(03/2027)","1886
(1886)",925.28,50
589,"3rd Line Kalyan - Kasara [67.35 Kilometres]
(Central Railway [CR] - II)
(705498)",Maharashtra,"09/2015
(09/2015)","12/2026
(12/2026)","792.89
(1395.79)",899.47,51
590,"3rd Line Wardha - Sewagram - Nagpur
(Central Railway [CR] - II)
(705500)",Maharashtra,"09/2015
(05/2016)","12/2025
(12/2025)","540.02
(944.24)",754.27,81
