Sl.No,Project Name (Agency) (Project Code),State,"Date of
Approval
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
24,"Development of Lal Bahadur Shastri International airport, Varanasi including C/o New
Terminal Building, Apron Extension, Runway Extension, PTT and allied works.
(Airport Authority of India [AAI])
(701113)",Uttar Pradesh,07/2024,"07/2027
07/2027","2869.65
(2869.65)",302.3,14
25,"Development of New Integrated Civil Enclave at Agra Airport
(Airport Authority of India [AAI])
(701122)",Uttar Pradesh,07/2024,"07/2026
(-)","579
(579)",74.3,14
26,"Development of New Civil Enclave at Bagdogra Airport
(Airport Authority of India [AAI])
(611495)",West Bengal,10/2023,"01/2027
01/2027","1549
(1549)",262.41,10
27,"Re-Construction of Rigid portions of Secondary Runway, K and A Taxiway and
Strengthening of C Taxiway at NSCBI Airport Kolkata.
(Airport Authority of India [AAI])
(612791)",West Bengal,12/2023,"02/2025
08/2026","328.3
(328.3)",98.15,44
,Total (27),,,,23265.01,5883.97,
,Ministry of Coal,,,,,,
,Coal,,,,,,
28,"TIKAK EXTENSION OCP
(MIS MoCoal Integration Logins)
(615820)",Assam,07/2022,"07/2031
(-)","159.77
(159.77)",80.84,0
29,"TIRAP OCP
(MIS MoCoal Integration Logins)
(615821)",Assam,11/2022,"11/2030
(-)","289.46
(289.46)",105.47,0
30,"PORDA CHIMTAPANI OCP [10 MTY]
(South Eastern Coalfields Limited [SECL])
(400144)",Chhattisgarh,12/2020,"03/2029
(-)","2310.12
(2310.12)",83.66,10
31,"CHHAL OC SEAM III [6 MTY]
(South Eastern Coalfields Limited [SECL])
(400145)",Chhattisgarh,12/2013,"03/2022
09/2025","610.63
(610.63)",577.46,85
32,"KUSMUNDA OC EXPANSION [15 TO 50 MTY]
(South Eastern Coalfields Limited [SECL])
(400147)",Chhattisgarh,08/2013,"03/2023
03/2030","7612.33
(7612.33)",4697.95,81
33,"BAROUD OC EXPANSION [3.0-10.0MTY]
(South Eastern Coalfields Limited [SECL])
(400149)",Chhattisgarh,08/2020,"03/2029
(-)","2309.8
(2309.8)",913.03,47
34,"DIPKA EXPANSION OCP [40 MTY]
(South Eastern Coalfields Limited [SECL])
(400354)",Chhattisgarh,12/2020,"03/2029
(-)","5241.4
(5241.4)",2675,37
35,"GEVRA OC [70 MTY]
(South Eastern Coalfields Limited [SECL])
(400424)",Chhattisgarh,03/2016,"03/2023
03/2026","11816.4
(11816.4)",5328.96,77
36,"JAMPALI OC RCE [2.0 MTY]
(SECL - CIL)
(613795)",Chhattisgarh,05/2020,"03/2025
06/2025","278.64
(278.64)",210.07,82
37,"AMERA OC RCE [1.0 MTY]
(South Eastern Coalfields Limited [SECL])
(613798)",Chhattisgarh,02/2015,"03/2026
(-)","335.97
(335.97)",87.47,42
38,"AMGAON OC RCE [1.0 MTY]
(South Eastern Coalfields Limited [SECL])
(613799)",Chhattisgarh,07/2015,"03/2026
(-)","316.11
(316.11)",188.53,71
39,"JAGANNATHPUR OC RCE PROJECT[3.0 MTY]
(South Eastern Coalfields Limited [SECL])
(613800)",Chhattisgarh,07/2016,"03/2025
03/2026","459.49
(459.49)",274.35,92
40,"MAHAMAYA OCP [1.50 MTY]
(South Eastern Coalfields Limited [SECL])
(613801)",Chhattisgarh,05/2018,"03/2026
(-)","410.26
(410.26)",169.3,38
41,"KATKONA RO UG MINE
(South Eastern Coalfields Limited [SECL])
(615191)",Chhattisgarh,01/2023,"03/2029
(-)","329.21
(329.21)",60.3,2
42,"PELMA OC MDO
(South Eastern Coalfields Limited [SECL])
(616234)",Chhattisgarh,10/2022,"03/2033
(-)","1725.04
(1725.04)",15.63,17
43,"KUSMUNDA OC EXPANSION PROJECT 50-75 MTY
(SECL - CIL)
(617287)",Chhattisgarh,11/2024,"03/2030
(-)","4516.88
(4516.88)",16.97,3
44,"MANIKPUR OC EXPANSION PROJECT 7 MTY
(South Eastern Coalfields Limited [SECL])
(617288)",Chhattisgarh,01/2025,"03/2029
(-)","382.61
(382.61)",0.86,1
45,"DIPKA OC
(SECL - CIL)
(612838)",Gujarat,01/2017,"03/2025
(-)","7580
(7580)",3091,65
46,"HURA C OCP
(ECL - CIL)
(400018)",Jharkhand,08/2022,"03/2029
(-)","859.41
(859.41)",450.47,62
47,"KONAR EXPANSION OCP
(Ministry of Coal)
(400073)",Jharkhand,01/2022,"03/2032
(-)","799.34
(799.34)",426.16,46
48,"KARO EXPANSION OCP
(Ministry of Coal)
(400074)",Jharkhand,01/2022,"03/2029
(-)","908.47
(908.47)",251.79,22
49,"SANGHMITRA OC
(Ministry of Coal)
(400136)",Jharkhand,03/2027,"03/2032
(-)","2660
(2660)",0,0
50,"CHANDRAGUPT OCP
(Ministry of Coal)
(400138)",Jharkhand,08/2020,"03/2032
(-)","973.5
(973.5)",440.32,15
51,"KOTRE BASANTPUR PACHMO OCP
(Ministry of Coal)
(400139)",Jharkhand,08/2020,"03/2032
(-)","861.06
(625.4)",441.05,41
52,"Pachwara South Coal Block
(NLC India Limited [NLCIL])
(400142)",Jharkhand,12/2019,"09/2028
(-)","2242.9
(2242.9)",1165.64,54
