Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code) (PMGID)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
173,"Rangit-IV HE Project [120 MW] executed by Jal Power Corporation Ltd. [JPCL] - A
wholly owned subsidiary of NHPC Ltd. acquired through NCLT
(National Hydroelectric Power Corporation Limited [NHPC])
(605156)
(-) (-)",Sikkim,"03/2021
(08/2021)","05/2024
(11/2026)","938.29
(1828.11)",1718.16,97.56
174,"Telangana Super Thermal Power Project , Stage-II [3 x 800 MW]
(National Thermal Power Corporation [NTPC])
(619341)
(-) (-)",Telangana,"03/2026
(03/2026)","01/2032
(-)","29344.85
(29344.85)",732.96,0.97
175,"Meja Thermal Power Project, Stage-II , (3x800 MW)
(National Thermal Power Corporation [NTPC])
(298178)
(-) (-)",Uttar Pradesh,"06/2026
(06/2026)","12/2032
(-)","38358.00
(38358.00)",1002.73,0.02
176,"Singrauli Super Thermal Power Project, Stage-III [2x800 MW]
(National Thermal Power Corporation [NTPC])
(612142)
(-) (-)",Uttar Pradesh,"03/2024
(03/2024)","02/2030
(04/2030)","17195.00
(17195.00)",3840.48,25
177,"Tapovan-Vishnugad HEP [4x130 MW]
(National Thermal Power Corporation [NTPC])
(602185)
(-) (-)",Uttarakhand,"11/2006
(11/2006)","03/2013
(07/2029)","2978.00
(10907.30)",7827.81,76.07
178,"Vishnugad Pipalkoti Hydro Electric Project [444 MW]
(THDC India Limited)
(602195)
(-) (-)",Uttarakhand,"08/2008
(01/2014)","12/2022
(06/2028)","3860.35
(6405.08)",5832.69,81.5
179,"Raghunathpur Thermal Power Station Phase II [2X660 MW] at Raghunathpur, Purulia,
West Bengal
(Damodar Valley Corporation)
(400062)
(-) (-)",West Bengal,"01/2023
(02/2025)","08/2029
(-)","17673.00
(17673.00)",2268.62,13
180,"Rammam-III HEPP [3x40 MW]
(National Thermal Power Corporation [NTPC])
(602184)
(-) (-)",West Bengal,"09/2014
(09/2014)","09/2019
(09/2029)","1381.84
(2865.56)",1690.73,57.86
181,"Installation of FGD for 4x210 & 2x250 MW MTPS U 1-6
(Damodar Valley Corporation)
(602538)
(-) (-)",West Bengal,"06/2019
(02/2021)","01/2024
(09/2026)","1037.00
(1106.00)",1143.06,97
,Total (33),,,,352432.05,140445,
,Transmission & Distribution,,,,,,
182,"Transmission system strengthening at Kurnool- III PS for integration of additional RE
generation projects [POWERGRID Kurnool III PS RE Transmission Limited]
(Power Grid Corporation of India Limited [POWERGRID])
(617183)
(-) (-)",Andhra Pradesh,"03/2025
(03/2025)","12/2027
(-)","2886.00
(2886.00)",894.66,43.89
183,"North Eastern Region Expansion Scheme-XXIII [NERES-XXIII]
(Power Grid Corporation of India Limited [POWERGRID])
(617375)
(-) (-)",Arunachal Pradesh,"08/2025
(08/2025)","02/2028
(-)","209.38
(209.38)",3.14,3.89
184,"Transmission system for evacuation of Power from REZ in Rajasthan [20 GW] under
phase-III Part-D Phase-II
(Power Grid Corporation of India Limited [POWERGRID])
(615336)
(-) (-)",Delhi,"11/2023
(10/2024)","02/2026
(12/2026)","284.00
(284.00)",90.88,45.94
185,"Transmission system for Evacuation of Additional 7 GW RE power from Khavda RE
park under Phase-III Part B [Vataman Transmission Limited]
(Power Grid Corporation of India Limited [POWERGRID])
(612139)
(-) (-)",Gujarat,"12/2023
(12/2023)","12/2025
(12/2026)","4231.00
(4231.00)",3175.79,72.12
186,"Transmission System for Evacuation of Power from Potential Energy Renewable Zone
in Khavda Area of Gujarat under Ph-IV [7GW] Part E2
(Power Grid Corporation of India Limited [POWERGRID])
(612855)
(-) (-)",Gujarat,"05/2024
(05/2024)","05/2026
(09/2026)","697.00
(697.00)",592.45,82
187,"Augmentation of Transformation Capacity at jam Khambhaliya PS [GIS] [SPV Name
POWERGRID Jam Khambhaliya Transmission Limited]
(Power Grid Corporation of India Limited [POWERGRID])
(615342)
(-) (-)",Gujarat,"10/2024
(10/2024)","07/2026
(04/2027)","329.00
(329.00)",72.38,33
188,"Provision of Dynamic Reactive Compensation at Khavda pooling Station 1 [KPS1] and
Khavda Pooling station 3 [KPS3]
(Power Grid Corporation of India Limited [POWERGRID])
(615343)
(-) (-)",Gujarat,"11/2024
(11/2024)","11/2026
(-)","501.00
(501.00)",26.45,8.67
189,"Transmission System for Evacuation of Power from Potential Renewable Energy Zone
in Khavda area of Gujarat under Phase-IV [7GW] Part B [SPV Name POWERGRID
South Olpad Transmission Limited]
(Power Grid Corporation of India Limited [POWERGRID])
(615345)
(-) (-)",Gujarat,"10/2024
(10/2024)","10/2026
(10/2027)","4766.00
(4766.00)",2144.7,38.26
190,"Augmentation of Transformation Capacity at KPS1 [GIS] and KPS2 [GIS] [Phase-V
Part B1 and Part B2 Scheme] [SPV Name- POWERGRID KPS1 and 2 Augmentation
Transmission Limited]
(Power Grid Corporation of India Limited [POWERGRID])
(617069)
(-) (-)",Gujarat,"02/2025
(02/2025)","02/2027
(-)","466.00
(466.00)",154.9,37
191,"Augmentation of Banaskantha [Raghanesda] PS [GIS] [POWERGRID Banaskantha
Transco Limited]
(Power Grid Corporation of India Limited [POWERGRID])
(617182)
(-) (-)",Gujarat,"03/2025
(03/2025)","03/2027
(-)","172.00
(172.00)",61.92,42
