Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code) (PMGID)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
594,"Doubling between Pradhankunta-Patherih-Bhojudih of East Central Railway
(East Central Railway [ECR] - I)
(617372)
(-) (-)",Jharkhand,"11/2022
(11/2022)","12/2025
(03/2026)","349.22
(349.22)",125.71,71.5
595,"Koderma-Arigada Doubling 133.38 Km of East Central Railway
(East Central Railway [ECR] - I)
(617832)
(-) (10780)",Jharkhand,"06/2025
(06/2025)","12/2029
(-)","2887.11
(2887.11)",0,0
596,"Parasnath-Madhuban-Giridih new line
(East Central Railway [ECR] - I)
(705747)
(-) (2266)",Jharkhand,"03/2019
(03/2019)","03/2024
(03/2026)","902.86
(902.86)",0,0.1
597,"Gomoh - Flyover for DN trains
(East Central Railway [ECR] - I)
(705765)
(N22000611) (2019)",Jharkhand,"01/2018
(01/2018)","03/2026
(03/2026)","686
(686)",631.52,66.5
598,"Lodhma - Piska - Link Line bypassing Hatia/Ranchi with Y connection
(South Eastern Railway [SER] - I)
(705785)
(N22000508) (2397)",Jharkhand,"08/2021
(03/2019)","06/2026
(05/2027)","473
(473)",306.22,10
599,"Pradhan Kuntha Jn Line Doubling Project
(East Central Railway [ECR] - I)
(706837)
(N22000529) (-)",Jharkhand,"11/2022
(11/2022)","11/2027
(11/2027)","349.22
(349.22)",125.71,71.5
600,"Construction of New BG line between Hassan to Belur [27 Km]
(South Western Railway [SWR] - II)
(400023)
(N22000558) (4449)",Karnataka,"03/2019
(12/2025)","04/2028
(04/2027)","749
(749)",0.94,0.3
601,"Yeshvanthpur - Channasandra Doubling Project [21.70 Km]
(Karnataka Rail Infrastructure Development Company Limited [K-RIDE])
(703585)
(N22000543) (-)",Karnataka,"04/2019
(10/2019)","03/2024
(03/2026)","314.1
(683.57)",171,56.5
602,"New Railway Line between Ginigera and Raichur [165.57 km]
(South Western Railway [SWR] - II)
(705434)
(-) (885)",Karnataka,"03/2008
(05/2009)","03/2019
(03/2027)","2565
(3034.98)",2293.26,70
603,"Bangalore-Satyamanglam New Line Project [260 Km] - Part Hejjala - Chamarajanagar
[142 Km]
(South Western Railway [SWR] - II)
(705464)
(-) (6110)",Karnataka,"02/1999
(07/2026)","12/2031
(-)","1382.78
(1382.78)",0,0
604,"Gadag-Wadi New Railway Line [257 km]
(South Western Railway [SWR] - II)
(705490)
(N22000299) (1541)",Karnataka,"04/2013
(08/2017)","03/2027
(12/2027)","2842
(6700)",1539.51,34.5
605,"Kadur - Chickamagalur - Sakleshpur [93km]
(South Western Railway [SWR] - II)
(705492)
(N22000486) (2227)",Karnataka,"01/2014
(11/2016)","06/2025
(12/2025)","825
(825)",774.11,84.2
606,"Hubli-Ankola New Line Project [164.44 km]
(South Western Railway [SWR] - II)
(705493)
(-) (652)",Karnataka,"01/1999
(01/2000)","03/2005
(03/2030)","5174
(5174)",178.42,4.7
607,"Bagalkot-Kudachi New Railway Line [142 km]
(South Western Railway [SWR] - II)
(705495)
(N22000258) (1778)",Karnataka,"10/2013
(11/2012)","03/2027
(01/2027)","1378
(1649)",797.87,36
608,"Tumkur-Chitradurga-Davangere New Rail Line Project [191 km]
(South Western Railway [SWR] - II)
(705496)
(N22000256) (1531)",Karnataka,"10/2013
(01/2017)","03/2019
(12/2027)","1876
(1876)",563.37,15.5
609,"Bangalore-Whitefield-Bangalore City-Krishnarajapuram [23.08 km] - Quadrupling
(South Western Railway [SWR] - II)
(705663)
(N22000621) (3892)",Karnataka,"02/2018
(06/2022)","02/2026
(02/2026)","493
(493)",318.39,85.5
610,"SHIMOGA - SHIKARIPURA - RANEBENNUR [96 Km]
(South Western Railway [SWR] - II)
(705761)
(N22000559) (3292)",Karnataka,"09/2019
(02/2023)","12/2027
(06/2028)","1454
(1454)",97.75,13.5
611,"Construction of New BG line between Hassan [Alur] to Belur [ Km 27.34]
(South Western Railway [SWR] - II)
(705762)
(-) (6107)",Karnataka,"06/2019
(09/2022)","04/2027
(12/2027)","748.86
(748.86)",1.15,0.3
612,"Bangalore Suburban Railway Project
(Karnataka Rail Infrastructure Development Company Limited [K-RIDE])
(705941)
(-) (5237)",Karnataka,"10/2020
(10/2020)","12/2026
(03/2030)","15767
(15767)",3224.09,19.95
613,"Belgaum-Dharwad via Kittur [73.10Km]
(South Western Railway [SWR] - II)
(706835)
(N22000557) (3384)",Karnataka,"09/2020
(03/2025)","12/2027
(03/2029)","1591
(1591)",0.38,0
614,"Kumbalam-Turavur doubling project [15.59 Km]
(Ministry of Railways)
(705638)
(N22000620) (1717)",Kerala,"04/2023
(04/2023)","03/2027
(03/2027)","813
(802.8)",126.48,30.5
615,"Ernakulam-Kumbalam doubling project [7.71 Km]
(SR-ERS)
(705639)
(N22000619) (1716)",Kerala,"04/2023
(04/2023)","03/2028
(02/2027)","601
(595.39)",308.42,25
